EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 291: Poirier vs. Gaethje 2 ,Matthew Semelsberger  vs. Uros Medic ,L/W,Welterweight Bout,KO/TKO ,3,2:36,3 Rnd (5-5-5),Tyler Tomlinson,Spinning Back Elbow to Head At Distance ,http://ufcstats.com/fight-details/3de326b65aa6245d
UFC 291: Poirier vs. Gaethje 2 ,Miranda Maverick  vs. Priscila Cachoeira ,W/L,Women's Flyweight Bout,Submission ,3,2:11,3 Rnd (5-5-5),Dave Seljestad,Armbar From Mount ,http://ufcstats.com/fight-details/74fef059e229d217
UFC Fight Night: Aspinall vs. Tybura ,Tom Aspinall  vs. Marcin Tybura ,W/L,Heavyweight Bout,KO/TKO ,1,1:13,5 Rnd (5-5-5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/90e46589a18064bc
UFC Fight Night: Aspinall vs. Tybura ,Molly McCann  vs. Julija Stoliarenko ,L/W,Women's Flyweight Bout,Submission ,1,1:55,3 Rnd (5-5-5),Jason Herzog,Armbar From Guard ,http://ufcstats.com/fight-details/743a04674ab72ee0
UFC Fight Night: Aspinall vs. Tybura ,Nathaniel Wood  vs. Andre Fili ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Mike Bell 28 - 29.Junichiro Kamijo 28 - 29.Cezary Wojciechowski 28 - 29.,http://ufcstats.com/fight-details/9541cf21e031354c
UFC Fight Night: Aspinall vs. Tybura ,Paul Craig  vs. Andre Muniz ,W/L,Middleweight Bout,KO/TKO ,2,4:40,3 Rnd (5-5-5),Daniel Movahedi,Elbows to Head From Mount ,http://ufcstats.com/fight-details/8104fe27bdc46914
UFC Fight Night: Aspinall vs. Tybura ,Jai Herbert  vs. Fares Ziam ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29.Cezary Wojciechowski 28 - 29.Junichiro Kamijo 27 - 30.,http://ufcstats.com/fight-details/c4caa8a4f32a0eed
UFC Fight Night: Aspinall vs. Tybura ,Lerone Murphy  vs. Josh Culibao ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Loic Pora,Ben Cartlidge 26 - 30.Darryl Ransom 26 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/3c4305abc2e302d0
UFC Fight Night: Aspinall vs. Tybura ,Davey Grant  vs. Daniel Marcos ,L/W,Bantamweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Clemens Werner 28 - 29.Anders Ohlsson 29 - 28.Cezary Wojciechowski 28 - 29.,http://ufcstats.com/fight-details/b4e2037f180c1e0e
UFC Fight Night: Aspinall vs. Tybura ,Danny Roberts  vs. Jonny Parsons ,L/W,Welterweight Bout,KO/TKO ,2,4:57,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/d54ebd2a3435a357
UFC Fight Night: Aspinall vs. Tybura ,Marc Diakiese  vs. Joel Alvarez ,L/W,Lightweight Bout,Submission ,2,4:26,3 Rnd (5-5-5),Daniel Movahedi,D'Arce Choke From Side Control ,http://ufcstats.com/fight-details/319b96f615a0a154
UFC Fight Night: Aspinall vs. Tybura ,Mick Parkin  vs. Jamal Pogues ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Loic Pora,Mike Bell 27 - 30.Darryl Ransom 27 - 30.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/89b96bc5f3e824c5
UFC Fight Night: Aspinall vs. Tybura ,Makhmud Muradov  vs. Bryan Barberena ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Junichiro Kamijo 27 - 30.David Lethaby 27 - 30.Anders Ohlsson 27 - 30.,http://ufcstats.com/fight-details/8b341eb556c97c23
UFC Fight Night: Aspinall vs. Tybura ,Ketlen Vieira  vs. Pannie Kianzad ,W/L,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 28 - 29.Ben Cartlidge 28 - 29.Cezary Wojciechowski 28 - 29.,http://ufcstats.com/fight-details/a0bc695b35f155f1
UFC Fight Night: Aspinall vs. Tybura ,Chris Duncan  vs. Yanal Ashmouz ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Loic Pora,David Lethaby 27 - 30.Darryl Ransom 27 - 30.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/a8a4c9f98ff73839
UFC Fight Night: Aspinall vs. Tybura ,Shauna Bannon  vs. Bruna Brasil ,L/W,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Daniel Movahedi,Mike Bell 28 - 29.Clemens Werner 28 - 29.Anders Ohlsson 27 - 30.,http://ufcstats.com/fight-details/c81d1facf185467d
UFC Fight Night: Aspinall vs. Tybura ,Jafel Filho  vs. Daniel Barez ,W/L,Flyweight Bout,Submission ,1,3:26,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Mount ,http://ufcstats.com/fight-details/d918da575ee1bc35
UFC Fight Night: Holm vs. Bueno Silva ,Holly Holm  vs. Mayra Bueno Silva ,NC/NC,Women's Bantamweight Bout,Overturned ,2,0:38,5 Rnd (5-5-5-5-5),Keith Peterson,Failed Drug Test by Bueno Silva,http://ufcstats.com/fight-details/73370221b3fa3676
UFC Fight Night: Holm vs. Bueno Silva ,Jack Della Maddalena  vs. Bassil Hafez ,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 28 - 29.Sal D'amato 29 - 28.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/3352c65f3f6d9b2a
UFC Fight Night: Holm vs. Bueno Silva ,Ottman Azaitar  vs. Francisco Prado ,L/W,Lightweight Bout,KO/TKO ,1,4:05,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Guard ,http://ufcstats.com/fight-details/b52dccbe69864d2a
UFC Fight Night: Holm vs. Bueno Silva ,Albert Duraev  vs. JunYong Park ,L/W,Middleweight Bout,Submission ,2,4:45,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/6adfe44b110c1510
UFC Fight Night: Holm vs. Bueno Silva ,Norma Dumont  vs. Chelsea Chandler ,W/L,Women's Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Mike Bell 27 - 30.Derek Cleary 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/81b7a6aa147bd912
UFC Fight Night: Holm vs. Bueno Silva ,Nazim Sadykhov  vs. Terrance McKinney ,W/L,Lightweight Bout,Submission ,2,1:07,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke ,http://ufcstats.com/fight-details/e4620f3fa451a3a4
UFC Fight Night: Holm vs. Bueno Silva ,Tucker Lutz  vs. Melsik Baghdasaryan ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/8362b372adb2f302
UFC Fight Night: Holm vs. Bueno Silva ,Viktoriia Dudakova  vs. Istela Nunes ,W/L,Women's Strawweight Bout,KO/TKO ,1,0:34,3 Rnd (5-5-5),Chris Tognoni,to On GroundInjury,http://ufcstats.com/fight-details/eb30c9c975e15436
UFC Fight Night: Holm vs. Bueno Silva ,Austin Lingo  vs. Melquizael Costa ,L/W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 26 - 30.Junichiro Kamijo 27 - 30.Brian Puccillo 27 - 30.,http://ufcstats.com/fight-details/b4cc389bb4af3707
UFC Fight Night: Holm vs. Bueno Silva ,Evan Elder  vs. Genaro Valdez ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Adalaide Byrd 26 - 30.Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/3624f4ae9c1d703e
UFC Fight Night: Holm vs. Bueno Silva ,Tyson Nam  vs. Azat Maksum ,L/W,Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 28 - 29.Brian Puccillo 29 - 28.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/dae80502466c8726
UFC Fight Night: Holm vs. Bueno Silva ,Alexander Munoz  vs. Carl Deaton ,W/L,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,Mike Bell 26 - 30.Derek Cleary 27 - 30.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/57785c9be5b4526d
UFC Fight Night: Holm vs. Bueno Silva ,Ashlee Evans-Smith  vs. Ailin Perez ,L/W,Women's Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 25 - 30.Derek Cleary 25 - 30.Brian Puccillo 26 - 30.,http://ufcstats.com/fight-details/cae7de0873e03947
UFC 290: Volkanovski vs. Rodriguez ,Alexander Volkanovski  vs. Yair Rodriguez ,W/L,UFC Featherweight Title Bout,KO/TKO ,3,4:19,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground ,http://ufcstats.com/fight-details/4b12a4b48755cd6b
UFC 290: Volkanovski vs. Rodriguez ,Brandon Moreno  vs. Alexandre Pantoja ,L/W,UFC Flyweight Title Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Ben Cartlidge 49 - 46.Derek Cleary 47 - 48.Junichiro Kamijo 47 - 48.,http://ufcstats.com/fight-details/0f24f3bc1b39ea45
UFC 290: Volkanovski vs. Rodriguez ,Robert Whittaker  vs. Dricus Du Plessis ,L/W,Middleweight Bout,KO/TKO ,2,2:23,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/4ec5d9bd1442e6c1
UFC 290: Volkanovski vs. Rodriguez ,Jalin Turner  vs. Dan Hooker ,L/W,Lightweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 28 - 29.Adalaide Byrd 29 - 28.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/b6ea8880cc7af439
UFC 290: Volkanovski vs. Rodriguez ,Bo Nickal  vs. Val Woodburn ,W/L,Middleweight Bout,KO/TKO ,1,0:38,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance ,http://ufcstats.com/fight-details/1ffe6e8df6dbefd2
UFC 290: Volkanovski vs. Rodriguez ,Robbie Lawler  vs. Niko Price ,W/L,Welterweight Bout,KO/TKO ,1,0:38,3 Rnd (5-5-5),Marc Goddard,Punches to Head In Clinch ,http://ufcstats.com/fight-details/20d8f6b4b7c8bae7
UFC 290: Volkanovski vs. Rodriguez ,Tatsuro Taira  vs. Edgar Chairez ,W/L,Catch Weight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 27 - 29.Ben Cartlidge 27 - 29.Derek Cleary 27 - 29.,http://ufcstats.com/fight-details/d3a9aceeb7e23580
UFC 290: Volkanovski vs. Rodriguez ,Yazmin Jauregui  vs. Denise Gomes ,L/W,Women's Strawweight Bout,KO/TKO ,1,0:20,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground ,http://ufcstats.com/fight-details/ef270d8cf29d071b
UFC 290: Volkanovski vs. Rodriguez ,Jimmy Crute  vs. Alonzo Menifield ,L/W,Light Heavyweight Bout,Submission ,2,1:55,3 Rnd (5-5-5),Mark Smith,Guillotine Choke In Clinch ,http://ufcstats.com/fight-details/6ef12db5b099ec81
UFC 290: Volkanovski vs. Rodriguez ,Vitor Petrino  vs. Marcin Prachnio ,W/L,Light Heavyweight Bout,Submission ,3,3:42,3 Rnd (5-5-5),Marc Goddard,Arm Triangle From Half Guard ,http://ufcstats.com/fight-details/69f67a4a690eb15d
UFC 290: Volkanovski vs. Rodriguez ,Cameron Saaiman  vs. Terrence Mitchell ,W/L,Bantamweight Bout,KO/TKO ,1,3:10,3 Rnd (5-5-5),Mark Smith,Punches to Head From Bottom Mount ,http://ufcstats.com/fight-details/dbf8a4b0870a47d1
UFC 290: Volkanovski vs. Rodriguez ,Shannon Ross  vs. Jesus Aguilar ,L/W,Flyweight Bout,KO/TKO ,1,0:17,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/420f7e6530dbc727
UFC 290: Volkanovski vs. Rodriguez ,Kamuela Kirk  vs. Esteban Ribovics ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 28 - 29.Chris Lee 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/5b71958ee063a6e8
UFC Fight Night: Strickland vs. Magomedov ,Sean Strickland  vs. Abus Magomedov ,W/L,Middleweight Bout,KO/TKO ,2,4:20,5 Rnd (5-5-5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/f557405652165aa3
UFC Fight Night: Strickland vs. Magomedov ,Damir Ismagulov  vs. Grant Dawson ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Sal D'amato 27 - 30.Chris Lee 27 - 30.Mike Bell 26 - 30.,http://ufcstats.com/fight-details/4dc5a41f357a7d85
UFC Fight Night: Strickland vs. Magomedov ,Max Griffin  vs. Michael Morales ,L/W,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Eric Colon 28 - 29.Junichiro Kamijo 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/0548a24a9bf8d7a0
UFC Fight Night: Strickland vs. Magomedov ,Ariane da Silva  vs. Melissa Gatto ,W/L,Women's Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 29 - 28.Sal D'amato 27 - 30.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/ea29714dcfb07ce2
UFC Fight Night: Strickland vs. Magomedov ,Ismael Bonfim  vs. Benoit Saint Denis ,L/W,Lightweight Bout,Submission ,1,4:48,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/cd137988da724076
UFC Fight Night: Strickland vs. Magomedov ,Brunno Ferreira  vs. Nursulton Ruziboev ,L/W,Middleweight Bout,KO/TKO ,1,1:17,3 Rnd (5-5-5),Mark Smith,Punches to Head On Ground ,http://ufcstats.com/fight-details/288f7fb936c1523c
UFC Fight Night: Strickland vs. Magomedov ,Kevin Lee  vs. Rinat Fakhretdinov ,L/W,Welterweight Bout,Submission ,1,0:55,3 Rnd (5-5-5),Herb Dean,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/962e74250884e4c1
UFC Fight Night: Strickland vs. Magomedov ,Joanderson Brito  vs. Westin Wilson ,W/L,Featherweight Bout,KO/TKO ,1,2:54,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/f5a6acc99bc5c634
UFC Fight Night: Strickland vs. Magomedov ,Yana Santos  vs. Karol Rosa ,L/W,Women's Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Chris Lee 28 - 29.Sal D'amato 29 - 28.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/fe370c518cf7873e
UFC Fight Night: Strickland vs. Magomedov ,Guram Kutateladze  vs. Elves Brener ,L/W,Lightweight Bout,KO/TKO ,3,3:17,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance ,http://ufcstats.com/fight-details/454265014520a3f8
UFC Fight Night: Strickland vs. Magomedov ,Ivana Petrovic  vs. Luana Carolina ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,David Lethaby 28 - 29.Ron McCarthy 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/dffc65202afb881d
UFC Fight Night: Strickland vs. Magomedov ,Alexandr Romanov  vs. Blagoy Ivanov ,W/L,Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30.Adalaide Byrd 27 - 30.Sal D'amato 27 - 30.,http://ufcstats.com/fight-details/bd2e14ee959f9b77
UFC Fight Night: Emmett vs. Topuria ,Josh Emmett  vs. Ilia Topuria ,L/W,Featherweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato 44 - 50.Chris Lee 42 - 50.Eric Colon 45 - 49.,http://ufcstats.com/fight-details/c3ef3cb03edde8bb
UFC Fight Night: Emmett vs. Topuria ,Amanda Ribas  vs. Maycee Barber ,L/W,Women's Flyweight Bout,KO/TKO ,2,3:42,3 Rnd (5-5-5),Keith Peterson,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/07cb64236ae7aaea
UFC Fight Night: Emmett vs. Topuria ,Austen Lane  vs. Justin Tafa ,NC/NC,Heavyweight Bout,Could Not Continue ,1,0:29,3 Rnd (5-5-5),Dan Miragliotta,Eye Poke by Lane,http://ufcstats.com/fight-details/2874ea5d2f783e23
UFC Fight Night: Emmett vs. Topuria ,David Onama  vs. Gabriel Santos ,W/L,Featherweight Bout,KO/TKO ,2,4:13,3 Rnd (5-5-5),Keith Peterson,Punch to Head At Distance ,http://ufcstats.com/fight-details/582806c33ce6dcf6
UFC Fight Night: Emmett vs. Topuria ,Brendan Allen  vs. Bruno Silva ,W/L,Middleweight Bout,Submission ,1,4:39,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke ,http://ufcstats.com/fight-details/9124740fe7816d70
UFC Fight Night: Emmett vs. Topuria ,Neil Magny  vs. Phil Rowe ,W/L,Welterweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Barry Luxenberg 28 - 29.Chris Lee 29 - 28.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/ced01368259428f5
UFC Fight Night: Emmett vs. Topuria ,Randy Brown  vs. Wellington Turman ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Barry Luxenberg 28 - 29.Sal D'amato 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/42922bab8a3e1828
UFC Fight Night: Emmett vs. Topuria ,Mateusz Rebecki  vs. Loik Radzhabov ,W/L,Lightweight Bout,KO/TKO ,2,2:36,3 Rnd (5-5-5),Larry Folsom,Punch to Head At Distance ,http://ufcstats.com/fight-details/8b296724a6844865
UFC Fight Night: Emmett vs. Topuria ,Tabatha Ricci  vs. Gillian Robertson ,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 28 - 29.Barry Luxenberg 28 - 29.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/c22de92b9d9030dc
UFC Fight Night: Emmett vs. Topuria ,Zhalgas Zhumagulov  vs. Joshua Van ,L/W,Flyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Eric Colon 28 - 29.Barry Luxenberg 29 - 28.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/c2cdeb207cce5ceb
UFC Fight Night: Emmett vs. Topuria ,Trevor Peek  vs. Chepe Mariscal ,L/W,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Larry Folsom,Derek Cleary 27 - 30.Troy Wincapaw 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/f18d44292036d5de
UFC Fight Night: Emmett vs. Topuria ,Jamall Emmers  vs. Jack Jenkins ,L/W,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Troy Wincapaw 30 - 27.Chris Lee 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/fcc1191761e365f9
UFC Fight Night: Emmett vs. Topuria ,Cody Brundage  vs. Sedriques Dumas ,L/W,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Troy Wincapaw 27 - 30.Eric Colon 28 - 29.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/7b909acede0a26eb
UFC Fight Night: Vettori vs. Cannonier ,Marvin Vettori  vs. Jared Cannonier ,L/W,Middleweight Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 45 - 49.Ben Cartlidge 45 - 49.Sal D'amato 46 - 48.,http://ufcstats.com/fight-details/175d9e1ac0725145
UFC Fight Night: Vettori vs. Cannonier ,Arman Tsarukyan  vs. Joaquim Silva ,W/L,Lightweight Bout,KO/TKO ,3,3:25,3 Rnd (5-5-5),Keith Peterson,Punches to Head From Mount ,http://ufcstats.com/fight-details/6c2199524d762b11
UFC Fight Night: Vettori vs. Cannonier ,Armen Petrosyan  vs. Christian Leroy Duncan ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/5d9b84493f1ed114
UFC Fight Night: Vettori vs. Cannonier ,Pat Sabatini  vs. Lucas Almeida ,W/L,Featherweight Bout,Submission ,2,1:48,3 Rnd (5-5-5),Chris Tognoni,Arm Triangle From Mount ,http://ufcstats.com/fight-details/76fd6919d828d5c2
UFC Fight Night: Vettori vs. Cannonier ,Manuel Torres  vs. Nikolas Motta ,W/L,Lightweight Bout,KO/TKO ,1,1:50,3 Rnd (5-5-5),Herb Dean,Elbow to Head At Distance ,http://ufcstats.com/fight-details/98458778348ea5d7
UFC Fight Night: Vettori vs. Cannonier ,Nicolas Dalby  vs. Muslim Salikhov ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 27 - 30.Sal D'amato 27 - 30.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/870672b1b443311e
UFC Fight Night: Vettori vs. Cannonier ,Jimmy Flick  vs. Alessandro Costa ,L/W,Flyweight Bout,KO/TKO ,2,1:03,3 Rnd (5-5-5),Keith Peterson,Elbows to Head From Half Guard ,http://ufcstats.com/fight-details/bc1be168c064f028
UFC Fight Night: Vettori vs. Cannonier ,Kyung Ho Kang  vs. Cristian Quinonez ,W/L,Bantamweight Bout,Submission ,1,2:25,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/7ba54a10f28c9496
UFC Fight Night: Vettori vs. Cannonier ,Carlos Hernandez  vs. Denys Bondar ,W/L,Flyweight Bout,Decision - Unanimous ,3,4:59,3 Rnd (5-5-5),Jerin Valel,Technical decision after clash of headsBen Cartlidge 27 - 30.Anthony Maness 27 - 30.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/8ea12c7360fa0f6b
UFC Fight Night: Vettori vs. Cannonier ,Tereza Bleda  vs. Gabriella Fernandes ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30.Sal D'amato 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/9cfb84817a43b63c
UFC Fight Night: Vettori vs. Cannonier ,Dan Argueta  vs. Ronnie Lawrence ,NC/NC,Bantamweight Bout,Overturned ,1,2:20,3 Rnd (5-5-5),Keith Peterson,Submission win for Argueta overturned on replay,http://ufcstats.com/fight-details/9a2d3ebab827d333
UFC Fight Night: Vettori vs. Cannonier ,Zac Pauga  vs. Modestas Bukauskas ,L/W,Light Heavyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mark Smith,Anthony Maness 27 - 30.Derek Cleary 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/8794031c523bf534
UFC 289: Nunes vs. Aldana ,Amanda Nunes  vs. Irene Aldana ,W/L,UFC Women's Bantamweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Sal D'amato 44 - 50.Mike Bell 44 - 50.Chris Lee 43 - 50.,http://ufcstats.com/fight-details/69bc7ca8ce831731
UFC 289: Nunes vs. Aldana ,Charles Oliveira  vs. Beneil Dariush ,W/L,Lightweight Bout,KO/TKO ,1,4:10,3 Rnd (5-5-5),Jason Herzog,Punches to Head On Ground ,http://ufcstats.com/fight-details/40e8bf8ce508c436
UFC 289: Nunes vs. Aldana ,Mike Malott  vs. Adam Fugitt ,W/L,Welterweight Bout,Submission ,2,1:06,3 Rnd (5-5-5),Dan Miragliotta,Guillotine Choke On Ground ,http://ufcstats.com/fight-details/e9d5ffcacf7d8757
UFC 289: Nunes vs. Aldana ,Dan Ige  vs. Nate Landwehr ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Lee 27 - 30.Sal D'amato 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/46c67efd68a0b15d
UFC 289: Nunes vs. Aldana ,Marc-Andre Barriault  vs. Eryk Anders ,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30.Mike Bell 27 - 30.Chris Lee 27 - 30.,http://ufcstats.com/fight-details/5311298f79414125
UFC 289: Nunes vs. Aldana ,Nassourdine Imavov  vs. Chris Curtis ,NC/NC,Middleweight Bout,Could Not Continue ,2,3:04,3 Rnd (5-5-5),Jason Herzog,Accidental Head Butt,http://ufcstats.com/fight-details/96eaf07b34538b8b
UFC 289: Nunes vs. Aldana ,Miranda Maverick  vs. Jasmine Jasudavicius ,L/W,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29.Sal Ram 28 - 29.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/47a5d4bb68352055
UFC 289: Nunes vs. Aldana ,Aiemann Zahabi  vs.  Aoriqileng ,W/L,Bantamweight Bout,KO/TKO ,1,1:04,3 Rnd (5-5-5),John Cooper,Punch to Head At Distance ,http://ufcstats.com/fight-details/e24b65cd8721349a
UFC 289: Nunes vs. Aldana ,Kyle Nelson  vs. Blake Bilder ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Sal Ram,Jerin Valel 27 - 30.Mike Bell 27 - 30.Jason Darrah 28 - 29.,http://ufcstats.com/fight-details/7ee8b91d7f80f8a7
UFC 289: Nunes vs. Aldana ,David Dvorak  vs. Steve Erceg ,L/W,Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mitch Cadlick,Sal D'amato 28 - 29.Jake Maxim 28 - 29.Jerin Valel 27 - 30.,http://ufcstats.com/fight-details/947ea1122c04ba18
UFC 289: Nunes vs. Aldana ,Diana Belbita  vs. Maria Oliveira ,W/L,Women's Strawweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Phil Koldyk,Jerin Valel 27 - 30.Jason Darrah 27 - 30.Chris Lee 28 - 29.,http://ufcstats.com/fight-details/1676c64a94be0557
UFC Fight Night: Kara-France vs. Albazi ,Kai Kara-France  vs. Amir Albazi ,L/W,Flyweight Bout,Decision - Split ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 47 - 48.Mike Bell 48 - 47.Sal D'amato 47 - 48.,http://ufcstats.com/fight-details/d7ae0993c7a378ee
