FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
John Elam,--,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Elder,155 lbs.,28.624657534246577,177.8,182.88,Switch,5.66,0.5,0.48,0.15,0.5,4.94,0.57,0.4
Billy Elekana,205 lbs.,30.4986301369863,190.5,195.58,Southpaw,2.66,0.6,0.55,0.25,0.6,3.28,0.46,0.0
John Paul Elias,205 lbs.,,193.04,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joao Elias,125 lbs.,30.882191780821916,160.02,162.56,Southpaw,0.4,0.5,0.0,0.0,0.0,6.47,0.2,0.5
Saul Elizondo,135 lbs.,40.367123287671234,170.18,,,2.07,0.3,2.0,1.0,1.0,4.93,0.48,0.66
Darren Elkins,145 lbs.,41.536986301369865,177.8,180.34,Orthodox,3.4,0.38,2.87,0.34,1.1,3.34,0.51,0.56
Jake Ellenberger,170 lbs.,40.67123287671233,175.26,180.34,Orthodox,2.47,0.39,2.04,0.47,0.4,2.83,0.6,0.86
Joe Ellenberger,155 lbs.,40.67123287671233,175.26,182.88,Orthodox,1.62,0.47,3.17,0.4,1.1,3.45,0.48,0.0
Tim Elliott,125 lbs.,38.92876712328767,170.18,167.64000000000001,Southpaw,3.37,0.44,3.71,0.47,1.1,2.65,0.57,0.59
Oban Elliott,170 lbs.,27.934246575342467,182.88,182.88,Orthodox,3.5,0.48,1.7,0.44,0.0,2.24,0.6,0.55
Eddy Ellis,170 lbs.,42.397260273972606,175.26,,Orthodox,3.4,0.69,4.0,0.66,2.0,1.53,0.68,0.5
Lisa Ellis,115 lbs.,43.038356164383565,162.56,,,1.68,0.48,4.19,0.63,0.6,2.32,0.57,0.5
Elisha Ellison,238 lbs.,28.726027397260275,182.88,198.12,Orthodox,1.57,0.33,0.0,0.0,0.0,15.13,0.4,0.0
Anna Elmose,115 lbs.,41.14520547945205,160.02,,Orthodox,3.68,0.49,0.0,0.0,0.0,4.64,0.56,0.33
Cameron Else,135 lbs.,38.58904109589041,175.26,180.34,Switch,1.99,0.4,0.0,0.0,0.0,8.09,0.51,0.0
Aaron Ely,135 lbs.,36.6958904109589,172.72,,,0.82,0.15,2.47,1.0,4.9,0.66,0.69,0.5
Sovannahry Em,135 lbs.,33.41917808219178,162.56,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramazan Emeev,170 lbs.,38.51780821917808,177.8,193.04,Southpaw,2.53,0.45,2.37,0.29,0.7,2.14,0.65,0.66
Aleksander Emelianenko,255 lbs.,44.326027397260276,198.12,,Orthodox,2.75,0.41,2.32,0.72,0.9,1.7,0.65,0.66
Fedor Emelianenko,230 lbs.,49.172602739726024,182.88,187.96,Orthodox,3.18,0.51,2.0,0.63,1.9,1.0,0.63,0.82
Rob Emerson,155 lbs.,44.33424657534247,175.26,177.8,Orthodox,2.5,0.3,2.02,0.52,0.4,2.83,0.64,0.65
Jamall Emmers,145 lbs.,36.345205479452055,177.8,187.96,Orthodox,5.45,0.49,1.74,0.4,0.2,4.07,0.56,0.8
Josh Emmett,145 lbs.,40.73698630136986,167.64000000000001,177.8,Orthodox,3.72,0.35,1.08,0.37,0.1,4.43,0.6,0.43
Marius Enache,155 lbs.,50.12602739726027,180.34,,,1.71,0.34,3.94,1.0,3.9,0.66,0.84,0.0
Kevin Engel,170 lbs.,,187.96,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolton Englund,155 lbs.,32.38356164383562,177.8,175.26,Orthodox,2.31,0.25,0.0,0.0,0.0,11.54,0.4,0.0
Oliver Enkamp,170 lbs.,34.298630136986304,182.88,195.58,Switch,2.38,0.36,0.87,0.16,0.0,3.55,0.37,0.0
Alex Enlund,145 lbs.,38.50684931506849,177.8,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Ento,192 lbs.,,187.96,,,8.41,0.79,5.49,1.0,11.0,0.0,1.0,0.0
Ian Entwistle,135 lbs.,39.02465753424657,165.1,,Orthodox,0.11,0.07,0.0,0.0,12.1,7.36,0.31,0.0
Andy Enz,185 lbs.,34.28493150684932,190.5,198.12,Orthodox,3.51,0.23,0.0,0.0,0.0,5.32,0.57,0.58
Won Jin Eoh,160 lbs.,,170.18,,Orthodox,3.74,0.44,0.0,0.0,0.0,3.58,0.46,0.5
Yuji Ephoevi-Ga,155 lbs.,26.101369863013698,182.88,190.5,Switch,2.67,0.71,0.0,0.0,0.0,2.6,0.44,0.6
Josh Epps,130 lbs.,39.26575342465753,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdellah Er-Ramy,185 lbs.,29.183561643835617,182.88,187.96,Orthodox,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0
Steve Erceg,125 lbs.,30.334246575342465,172.72,172.72,Orthodox,4.0,0.45,1.15,0.27,0.4,3.79,0.52,0.62
Tom Erikson,280 lbs.,61.41095890410959,190.5,,Orthodox,0.94,0.47,4.68,0.6,6.2,1.87,0.25,1.0
Konstantin Erokhin,230 lbs.,42.827397260273976,180.34,,Orthodox,1.07,0.36,0.0,0.0,0.0,1.83,0.47,0.7
Julian Erosa,145 lbs.,36.326027397260276,185.42000000000002,187.96,Southpaw,6.21,0.48,1.78,0.43,0.7,6.27,0.48,0.61
Jarno Errens,145 lbs.,31.024657534246575,180.34,185.42000000000002,Orthodox,3.29,0.44,0.0,0.0,0.3,3.29,0.61,0.33
Ivan Erslan,205 lbs.,34.032876712328765,187.96,182.88,Orthodox,2.55,0.46,0.45,0.2,0.0,5.01,0.53,0.61
Nick Ertl,155 lbs.,57.09315068493151,175.26,,,1.34,0.69,1.88,0.5,0.0,1.59,0.41,0.0
Chel Erwin-Davis,170 lbs.,,182.88,,,4.06,0.54,4.25,1.0,1.4,1.13,0.61,0.5
Bobby Escalante,130 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Esch,350 lbs.,57.33150684931507,180.34,,Orthodox,3.07,0.71,0.0,0.0,2.0,1.74,0.43,0.0
Pro Escobedo,205 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Escovedo,135 lbs.,44.24931506849315,170.18,182.88,Orthodox,1.77,0.43,0.43,0.33,0.0,4.32,0.49,0.13
Efrain Escudero,155 lbs.,39.868493150684934,175.26,180.34,Orthodox,2.92,0.44,1.31,0.4,0.8,2.3,0.63,0.66
Evan Esguerra,145 lbs.,47.38356164383562,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carla Esparza,115 lbs.,38.134246575342466,154.94,160.02,Orthodox,2.19,0.39,3.28,0.36,0.3,2.87,0.54,0.47
Juan Espino,255 lbs.,45.13972602739726,190.5,203.2,Orthodox,2.38,0.7,8.93,0.78,2.4,1.95,0.4,0.5
Jordan Espinosa,125 lbs.,36.05205479452055,167.64000000000001,175.26,Orthodox,4.22,0.52,0.75,0.28,0.2,2.94,0.57,0.7
Jodie Esquibel,115 lbs.,39.56164383561644,154.94,162.56,Orthodox,4.1,0.31,0.75,0.21,0.0,7.37,0.52,0.83
Rafael Estevam,125 lbs.,29.293150684931508,172.72,175.26,Orthodox,2.1,0.54,6.01,0.38,0.3,2.59,0.47,0.66
Achilles Estremadura,155 lbs.,33.71232876712329,177.8,172.72,Orthodox,3.2,0.43,0.0,0.0,0.0,3.27,0.7,0.0
Shaun Etchell,125 lbs.,32.30958904109589,170.18,172.72,Switch,0.0,0.0,4.37,1.0,0.0,0.0,0.0,1.0
Terry Etim,155 lbs.,39.87945205479452,185.42000000000002,185.42000000000002,Orthodox,2.16,0.35,0.43,0.3,1.4,2.53,0.67,0.39
Fred Ettish,180 lbs.,70.15068493150685,182.88,,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott Ettling,135 lbs.,,,,,0.0,0.0,8.04,1.0,0.0,0.54,0.83,0.0
Sijara Eubanks,125 lbs.,40.58904109589041,162.56,170.18,Orthodox,4.3,0.43,1.9,0.44,0.3,3.43,0.57,0.66
Billy Evangelista,155 lbs.,45.14520547945205,172.72,172.72,Orthodox,4.51,0.4,1.6,0.19,0.2,3.96,0.61,0.61
Rashad Evans,205 lbs.,46.18082191780822,182.88,190.5,Orthodox,2.14,0.37,2.98,0.44,0.0,2.42,0.63,0.73
Doug Evans,155 lbs.,45.136986301369866,175.26,,Orthodox,1.79,0.35,3.19,0.83,0.6,2.55,0.55,0.69
Ashlee Evans-Smith,135 lbs.,38.38904109589041,172.72,170.18,Orthodox,4.03,0.34,0.95,0.22,0.0,4.59,0.53,0.5
Dan Evensen,250 lbs.,51.5013698630137,190.5,,Orthodox,0.27,0.1,0.0,0.0,4.0,3.86,0.38,0.0
Tonya Evinger,135 lbs.,44.487671232876714,170.18,177.8,Orthodox,1.16,0.42,0.93,0.3,0.9,4.02,0.38,0.33
Movsar Evloev,145 lbs.,31.78904109589041,170.18,182.88,Orthodox,3.99,0.48,4.67,0.48,0.2,2.66,0.6,0.61
Andre Ewell,145 lbs.,37.85205479452055,172.72,190.5,Southpaw,4.28,0.4,0.36,0.75,0.1,4.87,0.51,0.72
Chris Ewert,185 lbs.,32.221917808219175,182.88,190.5,Orthodox,3.4,0.37,0.0,0.0,0.0,4.33,0.5,0.42
Neal Ewing,185 lbs.,40.16164383561644,,,,2.27,0.6,5.0,0.62,0.0,1.93,0.48,0.0
Manuel Exposito,145 lbs.,25.545205479452054,170.18,172.72,Orthodox,2.53,0.27,2.0,0.4,0.0,9.73,0.34,1.0
Jessica Eye,125 lbs.,39.33972602739726,167.64000000000001,167.64000000000001,Orthodox,3.86,0.37,0.58,0.4,0.5,4.19,0.55,0.57
Edward Faaloloto,155 lbs.,41.37260273972603,,177.8,Orthodox,2.28,0.32,1.01,0.25,0.0,6.25,0.44,0.33
Urijah Faber,135 lbs.,46.54794520547945,167.64000000000001,170.18,Orthodox,2.65,0.4,1.54,0.3,0.8,2.59,0.64,0.58
Melinda Fabian,125 lbs.,38.42739726027397,167.64000000000001,167.64000000000001,Orthodox,4.03,0.41,0.0,0.0,0.0,4.0,0.62,1.0
Wagnney Fabiano,145 lbs.,50.38356164383562,167.64000000000001,175.26,Southpaw,1.19,0.38,3.44,0.64,0.4,0.66,0.7,1.0
Bartosz Fabinski,170 lbs.,39.59178082191781,182.88,190.5,Orthodox,2.23,0.68,7.1,0.7,0.0,1.46,0.51,0.8
Ron Faircloth,205 lbs.,46.29041095890411,175.26,,Orthodox,0.39,0.4,0.0,0.0,0.0,8.9,0.42,0.0
Jason Fairn,230 lbs.,,185.42000000000002,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zarah Fairn,135 lbs.,41.96986301369863,172.72,182.88,Orthodox,4.55,0.31,0.0,0.0,0.0,7.4,0.45,0.6
Rinat Fakhretdinov,170 lbs.,34.16438356164384,182.88,187.96,Orthodox,5.03,0.52,3.91,0.34,0.2,3.61,0.54,0.91
Maiquel Falcao,185 lbs.,44.728767123287675,180.34,,Orthodox,1.67,0.55,1.0,1.0,3.0,0.53,0.86,0.71
Pedro Falcao,135 lbs.,33.326027397260276,167.64000000000001,167.64000000000001,Orthodox,3.21,0.48,2.73,0.25,0.0,3.39,0.5,0.66
Brodie Farber,170 lbs.,45.4027397260274,185.42000000000002,,Orthodox,1.69,0.45,0.9,0.5,0.9,2.17,0.53,0.2
Joao Paulo Faria,155 lbs.,,175.26,,,6.69,0.64,1.25,0.5,1.2,2.09,0.85,0.0
Kalindra Faria,125 lbs.,39.35068493150685,170.18,,Switch,2.23,0.56,1.31,0.66,0.7,1.44,0.45,0.2
Jair Farias,145 lbs.,32.6986301369863,185.42000000000002,193.04,Orthodox,3.8,0.39,0.0,0.0,0.0,5.33,0.51,0.41
Chance Farrar,145 lbs.,50.221917808219175,175.26,,Southpaw,0.81,0.22,3.02,1.0,0.0,2.21,0.67,0.0
Rico Farrington,170 lbs.,36.441095890410956,193.04,200.66,Southpaw,6.33,0.41,0.0,0.0,0.0,7.2,0.51,0.2
Kelly Faszholz,135 lbs.,40.63835616438356,172.72,,Orthodox,4.01,0.48,0.0,0.0,0.0,3.61,0.52,0.44
Rodney Faverus,215 lbs.,50.90958904109589,182.88,,Southpaw,2.3,0.53,4.5,1.0,0.0,1.6,0.54,0.25
Paul Felder,155 lbs.,41.59452054794521,180.34,177.8,Orthodox,3.7,0.44,0.29,0.28,0.2,3.44,0.48,0.64
Carlos Felipe,245 lbs.,30.87123287671233,182.88,190.5,Orthodox,4.88,0.45,0.0,0.0,0.0,5.6,0.5,0.72
JP Felty,170 lbs.,46.59178082191781,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feng Pengchao,135 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feng Xiaocan,115 lbs.,24.076712328767123,170.18,170.18,Southpaw,4.18,0.49,0.7,1.0,0.0,1.49,0.68,0.63
Kevin Ferguson,235 lbs.,51.81095890410959,187.96,195.58,Orthodox,2.3,0.5,3.1,0.72,1.2,3.41,0.38,0.36
Rhadi Ferguson,205 lbs.,,170.18,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Ferguson,170 lbs.,41.794520547945204,180.34,193.04,Orthodox,4.91,0.45,0.39,0.35,0.9,4.37,0.55,0.66
Josh Ferguson,125 lbs.,37.54246575342466,165.1,,Orthodox,2.13,0.43,0.59,0.11,0.0,4.18,0.32,0.54
CJ Fernandes,170 lbs.,48.04657534246575,187.96,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bibiano Fernandes,139 lbs.,45.66849315068493,170.18,,Orthodox,2.91,0.4,3.97,0.53,0.6,2.02,0.72,0.77
Gabriella Fernandes,125 lbs.,32.28767123287671,167.64000000000001,167.64000000000001,Southpaw,3.56,0.48,0.44,0.18,0.2,5.19,0.52,0.68
Kaue Fernandes,155 lbs.,30.695890410958903,175.26,185.42000000000002,Orthodox,4.28,0.55,1.18,1.0,0.0,1.42,0.62,0.76
Emily Fernandez,--,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Fernandez,205 lbs.,30.410958904109588,185.42000000000002,193.04,Orthodox,32.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Lucas Fernando,185 lbs.,28.873972602739727,190.5,203.2,,1.87,0.51,3.0,0.3,1.0,4.73,0.38,0.0
Alexandre Ferreira,205 lbs.,46.6,170.18,,Orthodox,2.57,0.6,0.0,0.0,0.0,8.14,0.42,0.0
Cezar Ferreira,185 lbs.,40.78356164383562,185.42000000000002,198.12,Southpaw,1.9,0.42,2.69,0.53,0.5,2.44,0.53,0.84
Diego Ferreira,155 lbs.,40.86027397260274,175.26,187.96,Orthodox,4.7,0.39,0.82,0.3,0.6,3.46,0.55,0.57
Erisson Ferreira,125 lbs.,34.56986301369863,167.64000000000001,177.8,Orthodox,1.75,0.32,1.11,1.0,1.7,2.75,0.56,0.66
Brunno Ferreira,185 lbs.,33.06027397260274,177.8,182.88,Orthodox,3.41,0.5,1.39,0.28,1.0,3.34,0.51,0.57
Scott Ferrozzo,323 lbs.,60.605479452054794,180.34,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timo Feucht,205 lbs.,29.854794520547944,190.5,200.66,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Fialho,170 lbs.,31.638356164383563,182.88,187.96,Orthodox,3.3,0.41,0.25,1.0,0.0,6.26,0.45,0.66
Drew Fickett,155 lbs.,45.961643835616435,177.8,177.8,Orthodox,2.33,0.41,1.3,0.35,2.2,2.29,0.57,0.3
Scott Fiedler,235 lbs.,,193.04,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ron Fields,200 lbs.,51.035616438356165,187.96,,Orthodox,0.33,0.33,0.0,0.0,0.0,2.64,0.11,0.0
Michal Figlak,155 lbs.,29.279452054794522,177.8,177.8,Orthodox,4.0,0.39,0.5,0.12,0.0,4.93,0.52,0.57
Deiveson Figueiredo,135 lbs.,37.945205479452056,165.1,172.72,Orthodox,2.75,0.54,1.71,0.35,1.3,3.54,0.49,0.57
Francisco Figueiredo,125 lbs.,36.0958904109589,167.64000000000001,172.72,Southpaw,2.04,0.61,2.51,0.75,0.4,2.59,0.61,0.76
Anthony Figueroa,135 lbs.,,162.56,,Orthodox,2.37,0.48,0.0,0.0,0.0,3.77,0.49,0.58
Edwin Figueroa,135 lbs.,41.32876712328767,170.18,175.26,Orthodox,2.57,0.39,0.2,1.0,0.6,3.06,0.51,0.37
Jonathan Figueroa,185 lbs.,30.805479452054794,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulo Filho,185 lbs.,47.52054794520548,172.72,,Southpaw,1.86,0.48,2.4,0.32,1.6,1.67,0.66,0.42
Jafel Filho,125 lbs.,32.56164383561644,170.18,172.72,Orthodox,1.85,0.41,2.52,0.45,2.2,1.62,0.5,0.66
Andre Fili,145 lbs.,35.42465753424658,180.34,187.96,Orthodox,3.87,0.37,2.22,0.45,0.2,4.23,0.51,0.71
Mirko Filipovic,230 lbs.,51.224657534246575,187.96,185.42000000000002,Southpaw,2.11,0.5,0.19,0.4,0.3,1.89,0.63,0.78
Brady Fink,183 lbs.,44.52054794520548,182.88,,Orthodox,1.69,0.41,3.63,0.25,3.6,1.69,0.61,0.0
Jesse Finney,170 lbs.,51.391780821917806,182.88,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Finney,135 lbs.,45.61643835616438,172.72,,Orthodox,2.16,0.28,0.77,0.11,0.0,8.75,0.42,0.25
Torrez Finney,185 lbs.,27.087671232876712,172.72,190.5,Orthodox,1.77,0.68,9.31,0.6,1.1,1.74,0.48,0.0
Luigi Fioravanti,170 lbs.,44.85205479452055,172.72,177.8,Orthodox,2.23,0.42,3.76,0.63,0.9,2.21,0.69,0.67
Nick Fiore,155 lbs.,27.958904109589042,177.8,182.88,Orthodox,2.83,0.46,2.5,0.45,0.0,7.93,0.42,0.71
Manon Fiorot,125 lbs.,35.775342465753425,170.18,165.1,Orthodox,5.66,0.42,1.05,0.29,0.0,3.58,0.66,0.87
Luiz Firmino,154 lbs.,43.701369863013696,167.64000000000001,,Orthodox,1.23,0.5,3.86,0.45,0.9,1.22,0.51,0.2
Spencer Fisher,155 lbs.,49.56164383561644,170.18,172.72,Southpaw,3.17,0.43,0.67,0.3,0.8,3.03,0.64,0.6
Chris Fishgold,145 lbs.,33.47397260273973,172.72,172.72,Orthodox,2.01,0.32,2.59,0.46,1.3,2.7,0.46,0.44
Bryanna Fissori,145 lbs.,,162.56,,,1.4,0.46,2.0,0.25,0.0,1.2,0.57,0.5
Jon Fitch,170 lbs.,47.76438356164383,182.88,187.96,Orthodox,2.61,0.5,3.6,0.51,0.8,1.65,0.54,0.56
Isi Fitikefu,205 lbs.,,177.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Fiziev,155 lbs.,32.728767123287675,172.72,180.34,Switch,4.77,0.52,0.89,0.72,0.0,4.77,0.5,0.9
Colin Fletcher,155 lbs.,42.89041095890411,187.96,,Orthodox,3.1,0.34,0.0,0.0,0.0,2.97,0.62,0.27
AJ Fletcher,170 lbs.,28.767123287671232,177.8,170.18,Switch,3.36,0.49,1.54,0.35,0.9,4.61,0.46,0.33
Nathan Fletcher,135 lbs.,27.893150684931506,170.18,177.8,Orthodox,3.41,0.59,3.37,0.38,0.7,2.16,0.57,0.5
Jimmy Flick,125 lbs.,35.221917808219175,170.18,172.72,Orthodox,1.67,0.5,2.36,0.33,3.5,4.7,0.43,0.0
Luke Flores,155 lbs.,37.6986301369863,182.88,185.42000000000002,Southpaw,1.56,0.44,0.0,0.0,1.2,1.88,0.6,0.4
Ty Flores,205 lbs.,31.92876712328767,190.5,185.42000000000002,Switch,2.0,0.37,1.0,0.09,0.0,7.8,0.25,0.0
Alejandro Flores,145 lbs.,34.30958904109589,177.8,185.42000000000002,Orthodox,3.66,0.4,0.0,0.0,0.0,2.02,0.54,0.0
Kenny Florian,145 lbs.,49.515068493150686,177.8,187.96,Southpaw,2.41,0.4,2.22,0.33,1.3,1.85,0.63,0.6
Darrius Flowers,155 lbs.,31.254794520547946,175.26,180.34,Orthodox,3.07,0.49,0.98,0.28,0.0,5.49,0.44,0.63
Cody Floyd,--,37.36164383561644,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Flynn,170 lbs.,,,,,0.38,0.25,0.0,0.0,0.0,0.77,0.0,0.0
Caros Fodor,155 lbs.,41.893150684931506,175.26,187.96,Orthodox,2.76,0.54,2.1,0.25,0.0,2.83,0.54,0.5
Mal Foki,220 lbs.,49.70958904109589,170.18,,Orthodox,2.86,0.14,0.0,0.0,0.0,14.29,0.54,0.0
Matt Foki,220 lbs.,49.70958904109589,170.18,,Orthodox,0.0,0.0,0.0,0.0,0.0,3.37,0.56,0.0
AJ Fonseca,145 lbs.,,162.56,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rob Font,135 lbs.,38.42739726027397,172.72,180.34,Orthodox,5.36,0.45,0.74,0.3,0.3,3.7,0.57,0.43
Claudionor Fontinelle,185 lbs.,,165.1,,Orthodox,2.62,0.42,0.0,0.0,0.0,10.25,0.28,0.0
Jesse Forbes,185 lbs.,41.0958904109589,187.96,190.5,Southpaw,2.11,0.24,1.79,0.75,1.2,4.06,0.53,0.66
Sterling Ford,155 lbs.,39.71506849315068,177.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Codale Ford,170 lbs.,46.55068493150685,175.26,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raheam Forest,170 lbs.,28.375342465753423,180.34,185.42000000000002,Switch,5.32,0.38,0.0,0.0,0.0,12.15,0.42,0.0
Jussier Formiga,125 lbs.,40.62465753424657,165.1,170.18,Orthodox,1.42,0.39,1.82,0.35,0.6,2.34,0.64,0.87
Carol Foro,115 lbs.,28.682191780821917,157.48,154.94,Orthodox,7.8,0.55,0.0,0.0,0.0,7.67,0.58,1.0
Renee Forte,155 lbs.,38.673972602739724,170.18,180.34,Orthodox,2.08,0.32,2.32,0.58,0.0,2.12,0.63,0.66
Brianna Fortino,115 lbs.,32.31232876712329,152.4,157.48,Southpaw,3.53,0.41,2.5,0.45,0.0,3.23,0.57,0.66
Marcel Fortuna,205 lbs.,40.1013698630137,185.42000000000002,187.96,Orthodox,3.83,0.46,0.45,0.08,0.5,4.52,0.64,0.75
Brian Foster,170 lbs.,41.654794520547945,175.26,180.34,Orthodox,3.3,0.39,3.67,0.6,1.8,1.63,0.65,0.37
Xavier Foupa-Pokam,185 lbs.,43.40821917808219,185.42000000000002,,Open Stance,1.47,0.43,0.0,0.0,0.0,2.5,0.49,0.16
Mason Fowler,170 lbs.,,180.34,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Foxworth,145 lbs.,46.59178082191781,180.34,,Orthodox,1.33,0.32,0.0,0.0,0.0,4.59,0.5,0.0
Hermes Franca,155 lbs.,51.26575342465753,167.64000000000001,180.34,Orthodox,1.78,0.39,1.53,0.36,2.4,2.85,0.55,0.37
Glaico Franca Moreira,155 lbs.,34.74520547945205,182.88,195.58,Orthodox,2.35,0.42,2.68,0.42,0.3,3.46,0.47,0.76
Francisco France,205 lbs.,42.85479452054795,182.88,,,0.54,0.33,0.0,0.0,6.1,3.51,0.27,0.0
John Franchi,145 lbs.,43.37260273972603,167.64000000000001,170.18,Orthodox,1.83,0.48,2.68,0.8,0.3,2.59,0.48,0.4
Felipe Franco,205 lbs.,24.838356164383562,185.42000000000002,193.04,Orthodox,2.23,0.71,6.08,0.4,0.0,2.84,0.35,1.0
Rich Franklin,185 lbs.,51.156164383561645,185.42000000000002,193.04,Southpaw,4.1,0.44,1.31,0.66,0.7,2.07,0.62,0.63
Xavier Franklin,135 lbs.,29.112328767123287,167.64000000000001,167.64000000000001,Southpaw,3.07,0.33,0.0,0.0,0.0,5.27,0.5,1.0
Zoila Frausto,135 lbs.,41.96986301369863,162.56,,Orthodox,0.77,0.31,0.0,0.0,0.0,1.64,0.53,0.57
Stephanie Frausto,115 lbs.,35.18630136986302,157.48,154.94,Orthodox,1.43,0.21,0.0,0.0,0.0,3.57,0.6,0.0
Zane Frazier,250 lbs.,,195.58,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Frazier,245 lbs.,37.66027397260274,182.88,,Orthodox,1.5,0.39,0.0,0.0,0.0,2.77,0.46,1.0
Justin Frazier,265 lbs.,36.45205479452055,182.88,190.5,Southpaw,1.11,0.66,0.0,0.0,0.0,6.11,0.04,0.0
Ian Freeman,225 lbs.,59.06301369863014,180.34,,Orthodox,2.54,0.48,1.44,0.4,0.7,3.11,0.44,0.8
Jason Freeman,225 lbs.,49.24383561643835,187.96,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kennedy Freeman,125 lbs.,28.997260273972604,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denzel Freeman,265 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willamy Freire,155 lbs.,38.33698630136986,172.72,,Orthodox,1.53,0.37,0.5,1.0,0.0,0.93,0.62,0.73
Patricio Freire,145 lbs.,38.394520547945206,167.64000000000001,170.18,Orthodox,2.68,0.43,1.49,0.33,0.6,4.23,0.57,0.88
Patricky Freire,155 lbs.,39.49315068493151,170.18,180.34,,3.06,0.44,1.26,0.33,0.0,3.34,0.69,1.0
JeremyFreitag,205 lbs.,,185.42000000000002,,,0.0,0.0,0.0,0.0,1.9,8.37,0.19,0.33
Rafael Freitas,205 lbs.,,,,Orthodox,2.0,0.29,11.25,0.5,0.0,8.0,0.51,0.0
Donavon Frelow,135 lbs.,40.85479452054795,170.18,,Orthodox,2.4,0.27,1.0,1.0,0.0,3.2,0.52,0.26
Josh Fremd,185 lbs.,31.863013698630137,193.04,193.04,Orthodox,2.52,0.44,0.66,0.25,1.1,2.23,0.47,0.3
Clay French,161 lbs.,45.14520547945205,170.18,,Southpaw,1.52,0.5,0.0,0.0,0.0,1.27,0.16,1.0
Mike French,145 lbs.,50.50958904109589,177.8,,,0.23,0.23,0.0,0.0,1.0,2.17,0.42,0.22
Matt Frevola,155 lbs.,35.463013698630135,175.26,180.34,Orthodox,3.3,0.39,2.34,0.41,0.8,3.76,0.56,0.4
Jinh Yu Frey,115 lbs.,40.52602739726027,160.02,165.1,Southpaw,2.97,0.43,1.02,0.36,0.3,4.23,0.52,0.9
Artem Frolov,185 lbs.,34.221917808219175,177.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarah Frota,125 lbs.,38.62465753424657,167.64000000000001,175.26,Southpaw,4.52,0.52,0.0,0.0,0.0,2.57,0.55,0.53
Daniel Frunza,170 lbs.,31.621917808219177,185.42000000000002,185.42000000000002,Orthodox,3.25,0.38,0.0,0.0,0.0,4.32,0.5,0.5
Don Frye,219 lbs.,60.02739726027397,185.42000000000002,,Orthodox,2.87,0.64,0.91,0.57,0.7,3.57,0.37,0.45
Allen Frye Jr.,265 lbs.,27.613698630136987,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tony Fryklund,185 lbs.,54.68767123287671,182.88,,Orthodox,3.49,0.39,0.0,0.0,0.5,6.5,0.43,0.66
Adam Fugitt,170 lbs.,36.87397260273973,185.42000000000002,195.58,Southpaw,4.59,0.46,1.83,0.25,0.0,4.54,0.51,0.5
