FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Herdem Alacabek,205 lbs.,34.47397260273973,187.96,190.5,Orthodox,3.84,0.65,2.06,0.5,0.0,6.66,0.23,0.42
Javi Alanis,135 lbs.,,167.64000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alatengheili,135 lbs.,33.95342465753425,165.1,167.64000000000001,Orthodox,2.82,0.32,1.74,0.43,0.0,5.12,0.57,0.75
Amir Albazi,125 lbs.,32.082191780821915,165.1,172.72,Orthodox,2.72,0.34,1.39,0.32,0.5,3.71,0.61,0.5
Brett Albee,225 lbs.,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Albert,135 lbs.,39.12602739726027,172.72,172.72,Orthodox,3.05,0.49,0.0,0.0,6.1,2.82,0.35,0.5
Junior Albini,264 lbs.,34.704109589041096,190.5,187.96,Orthodox,3.98,0.51,1.54,0.37,0.0,6.08,0.52,1.0
Wes Albritton,188 lbs.,,177.8,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandra Albu,115 lbs.,35.37260273972603,157.48,160.02,Orthodox,4.83,0.47,2.27,0.5,0.4,5.56,0.38,0.77
Israel Albuquerque,185 lbs.,,,,Orthodox,0.32,0.13,0.0,0.0,0.0,3.34,0.25,0.0
Juan Alcain,--,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iuri Alcantara,135 lbs.,45.320547945205476,175.26,180.34,Southpaw,2.72,0.45,1.44,0.62,0.8,2.79,0.49,0.6
Ildemar Alcantara,185 lbs.,43.03013698630137,187.96,198.12,Orthodox,1.93,0.38,2.0,0.68,0.9,2.63,0.5,0.81
Alfonso Alcarez,145 lbs.,55.47945205479452,160.02,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilbert Aldana,250 lbs.,48.26575342465753,185.42000000000002,,Orthodox,2.91,0.54,2.57,0.4,0.0,6.26,0.26,0.33
Irene Aldana,135 lbs.,37.673972602739724,175.26,172.72,Orthodox,5.19,0.39,0.15,0.5,0.2,6.64,0.56,0.77
Hector Aldana,170 lbs.,37.27945205479452,180.34,182.88,Orthodox,3.59,0.38,0.93,1.0,0.0,5.08,0.59,0.0
Jose Alday,135 lbs.,34.202739726027396,170.18,172.72,Orthodox,3.13,0.44,0.0,0.0,0.0,3.13,0.58,0.57
Jose Aldo,135 lbs.,39.21917808219178,170.18,177.8,Orthodox,3.65,0.46,0.47,0.51,0.1,3.81,0.6,0.92
JJ Aldrich,125 lbs.,33.15890410958904,165.1,170.18,Southpaw,3.96,0.47,0.75,0.26,0.0,4.32,0.61,0.67
Irina Alekseeva,135 lbs.,35.41917808219178,172.72,170.18,Orthodox,3.42,0.38,0.38,0.2,0.4,5.02,0.45,0.5
Talita Alencar,115 lbs.,35.11232876712329,154.94,147.32,Orthodox,2.91,0.37,3.02,0.26,0.6,3.36,0.55,0.66
Jim Alers,145 lbs.,39.12328767123287,175.26,180.34,Orthodox,2.9,0.4,2.26,0.41,0.3,4.38,0.56,0.8
John Alessio,155 lbs.,46.40547945205479,177.8,182.88,Orthodox,2.1,0.39,1.85,0.38,1.2,2.91,0.54,0.7
Houston Alexander,205 lbs.,53.6958904109589,182.88,182.88,Orthodox,3.06,0.54,1.19,0.57,0.0,3.2,0.52,0.33
Kenneth Alexander,155 lbs.,48.18082191780822,175.26,,Orthodox,0.88,0.19,4.71,0.26,0.0,2.2,0.66,0.0
Lucas Alexander,145 lbs.,30.33150684931507,180.34,185.42000000000002,Orthodox,4.69,0.57,0.0,0.0,0.0,2.87,0.56,0.6
Marcio Alexandre Junior,185 lbs.,36.56438356164384,182.88,190.5,Southpaw,1.61,0.45,0.35,0.2,0.7,2.89,0.42,0.66
Olaf Alfonso,170 lbs.,51.320547945205476,187.96,,Orthodox,1.65,0.38,0.37,0.07,0.7,4.77,0.53,0.22
Pablo Alfonso,145 lbs.,42.558904109589044,172.72,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levi Alford,--,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
