EVENT,BOUT,WEIGHTCLASS,METHOD,ROUND,TIME,DETAILS,WINNER,LOSER,TOTAL ROUNDS,AGE.DIFF.WINNER,REACH.DIFF.WINNER,HEIGHT.DIFF.WINNER
UFC 323: Dvalishvili vs. Yan 2 ,Merab Dvalishvili  vs. Petr Yan ,UFC Bantamweight Title Bout,Decision,5,5:00,Mike Bell 46 - 49.Eric Colon 46 - 49.Derek Cleary 47 - 48.,Petr Yan,Merab Dvalishvili,5.0,-2.0904109589041084,-2.539999999999992,2.5400000000000205
UFC 323: Dvalishvili vs. Yan 2 ,Alexandre Pantoja  vs. Joshua Van ,UFC Flyweight Title Bout,KO/TKO,1,0:26,to On GroundArm injury to Pantoja,Joshua Van,Alexandre Pantoja,5.0,-11.493150684931503,-5.0800000000000125,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Brandon Moreno  vs. Tatsuro Taira ,Flyweight Bout,KO/TKO,2,2:24,Punches to Head From Back Control ,Tatsuro Taira,Brandon Moreno,3.0,-6.142465753424663,0.0,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Henry Cejudo  vs. Payton Talbott ,Bantamweight Bout,Decision,3,5:00,Eric Colon 27 - 30.Sal D'amato 27 - 30.David Lethaby 27 - 30.,Payton Talbott,Henry Cejudo,3.0,-11.589041095890412,15.240000000000009,15.240000000000009
UFC 323: Dvalishvili vs. Yan 2 ,Jan Blachowicz  vs. Bogdan Guskov ,Light Heavyweight Bout,Decision,3,5:00,Junichiro Kamijo 28 - 29.Chris Lee 28 - 28.Ron McCarthy 28 - 28.,,,3.0,,,
UFC 323: Dvalishvili vs. Yan 2 ,Grant Dawson  vs. Manuel Torres ,Lightweight Bout,KO/TKO,1,2:25,Punch to Head At Distance ,Manuel Torres,Grant Dawson,3.0,-1.090410958904112,2.539999999999992,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Terrance McKinney  vs. Chris Duncan ,Lightweight Bout,Submission,1,2:30,Anaconda Choke On Ground ,Chris Duncan,Terrance McKinney,3.0,1.3506849315068514,-5.079999999999984,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Maycee Barber  vs. Karine Silva ,Women's Flyweight Bout,Decision,3,5:00,Sal D'amato 27 - 30.Mike Bell 28 - 29.Derek Cleary 28 - 29.,Maycee Barber,Karine Silva,3.0,-4.460273972602739,-5.0800000000000125,0.0
UFC 323: Dvalishvili vs. Yan 2 ,Nazim Sadykhov  vs. Fares Ziam ,Lightweight Bout,KO/TKO,2,4:59,Punches to Head On Ground ,Fares Ziam,Nazim Sadykhov,3.0,-2.849315068493148,15.240000000000009,7.619999999999976
UFC 323: Dvalishvili vs. Yan 2 ,Marvin Vettori  vs. Brunno Ferreira ,Middleweight Bout,Decision,3,5:00,Derek Cleary 28 - 29.Eric Colon 28 - 29.Junichiro Kamijo 28 - 29.,Brunno Ferreira,Marvin Vettori,3.0,0.8767123287671268,-5.0800000000000125,-5.079999999999984
UFC 323: Dvalishvili vs. Yan 2 ,Edson Barboza  vs. Jalin Turner ,Lightweight Bout,KO/TKO,1,2:24,Punches to Head At Distance ,Jalin Turner,Edson Barboza,3.0,-9.326027397260273,5.0800000000000125,10.159999999999997
UFC 323: Dvalishvili vs. Yan 2 ,Iwo Baraniewski  vs. Ibo Aslan ,Light Heavyweight Bout,KO/TKO,1,1:29,Punches to Head At Distance ,Iwo Baraniewski,Ibo Aslan,3.0,-2.5780821917808225,-10.160000000000025,-7.6200000000000045
UFC 323: Dvalishvili vs. Yan 2 ,Mansur Abdul-Malik  vs. Antonio Trocoli ,Middleweight Bout,Submission,1,1:09,Guillotine Choke Standing ,Mansur Abdul-Malik,Antonio Trocoli,3.0,-6.8410958904109584,2.539999999999992,-10.159999999999997
UFC 323: Dvalishvili vs. Yan 2 ,Muhammad Naimov  vs. Mairon Santos ,Featherweight Bout,KO/TKO,3,0:21,Punches to Head At Distance ,Mairon Santos,Muhammad Naimov,3.0,-5.846575342465755,5.079999999999984,-5.079999999999984
UFC Fight Night: Tsarukyan vs. Hooker ,Arman Tsarukyan  vs. Dan Hooker ,Lightweight Bout,Submission,2,3:34,Arm Triangle From Mount ,Arman Tsarukyan,Dan Hooker,5.0,-6.6630136986301345,-7.6200000000000045,-12.699999999999989
UFC Fight Night: Tsarukyan vs. Hooker ,Belal Muhammad  vs. Ian Machado Garry ,Welterweight Bout,Decision,3,5:00,Anders Ohlsson 27 - 30.Vito Paolillo 27 - 30.Mark Collett 28 - 29.,Ian Machado Garry,Belal Muhammad,3.0,-9.364383561643837,5.0800000000000125,10.159999999999997
UFC Fight Night: Tsarukyan vs. Hooker ,Volkan Oezdemir  vs. Alonzo Menifield ,Light Heavyweight Bout,KO/TKO,1,1:27,Punches to Head At Distance ,Volkan Oezdemir,Alonzo Menifield,3.0,-1.9232876712328775,-2.539999999999992,5.0800000000000125
UFC Fight Night: Tsarukyan vs. Hooker ,Jack Hermansson  vs. Myktybek Orolbai ,Welterweight Bout,KO/TKO,1,2:46,Punch to Head At Distance ,Myktybek Orolbai,Jack Hermansson,3.0,-9.67671232876712,-7.6200000000000045,-7.619999999999976
UFC Fight Night: Tsarukyan vs. Hooker ,Waldo Cortes Acosta  vs. Shamil Gaziev ,Heavyweight Bout,KO/TKO,1,1:22,Punch to Head At Distance ,Waldo Cortes Acosta,Shamil Gaziev,3.0,-1.6438356164383592,0.0,0.0
UFC Fight Night: Tsarukyan vs. Hooker ,Tagir Ulanbekov  vs. Kyoji Horiguchi ,Flyweight Bout,Submission,3,2:18,Rear Naked Choke ,Kyoji Horiguchi,Tagir Ulanbekov,3.0,0.8191780821917831,-10.160000000000025,-5.0800000000000125
UFC Fight Night: Tsarukyan vs. Hooker ,Bogdan Grad  vs. Luke Riley ,Featherweight Bout,KO/TKO,2,0:30,Punches to Head From Guard ,Luke Riley,Bogdan Grad,3.0,-3.7561643835616394,,
UFC Fight Night: Tsarukyan vs. Hooker ,Nicolas Dalby  vs. Saygid Izagakhmaev ,Welterweight Bout,Decision,3,5:00,Ben Cartlidge 28 - 29.Vito Paolillo 29 - 28.Cezary Wojciechowski 28 - 29.,Nicolas Dalby,Saygid Izagakhmaev,3.0,9.8027397260274,,
UFC Fight Night: Tsarukyan vs. Hooker ,Alex Perez  vs. Asu Almabayev ,Flyweight Bout,Submission,3,0:22,Guillotine Choke In Clinch ,Asu Almabayev,Alex Perez,3.0,-1.8493150684931479,0.0,-5.079999999999984
UFC Fight Night: Tsarukyan vs. Hooker ,Abdul Rakhman Yakhyaev  vs. Rafael Cerqueira ,Light Heavyweight Bout,Submission,1,0:33,Rear Naked Choke ,Abdul Rakhman Yakhyaev,Rafael Cerqueira,3.0,-10.81369863013699,5.0800000000000125,-2.539999999999992
UFC Fight Night: Tsarukyan vs. Hooker ,Bekzat Almakhan  vs. Aleksandre Topuria ,Bantamweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Cezary Wojciechowski 27 - 30.Anders Ohlsson 28 - 29.,Aleksandre Topuria,Bekzat Almakhan,3.0,1.6958904109588993,0.0,0.0
UFC Fight Night: Tsarukyan vs. Hooker ,Ismail Naurdiev  vs. Ryan Loder ,Middleweight Bout,KO/TKO,1,1:26,Punch to Head At Distance ,Ismail Naurdiev,Ryan Loder,3.0,-5.208219178082189,-5.079999999999984,-10.159999999999997
UFC Fight Night: Tsarukyan vs. Hooker ,Nurullo Aliev  vs. Shem Rock ,Lightweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Anders Ohlsson 27 - 30.Cezary Wojciechowski 27 - 30.,Nurullo Aliev,Shem Rock,3.0,,,
UFC Fight Night: Tsarukyan vs. Hooker ,Marek Bujlo  vs. Denzel Freeman ,Heavyweight Bout,Decision,3,5:00,Vito Paolillo 27 - 30.Mark Collett 28 - 29.David Lethaby 28 - 29.,Denzel Freeman,Marek Bujlo,3.0,,,
UFC 322: Della Maddalena vs. Makhachev ,Jack Della Maddalena  vs. Islam Makhachev ,UFC Welterweight Title Bout,Decision,5,5:00,Derek Cleary 45 - 50.Sal D'amato 45 - 50.Ron McCarthy 45 - 50.,Islam Makhachev,Jack Della Maddalena,5.0,4.876712328767116,-7.619999999999976,-2.539999999999992
UFC 322: Della Maddalena vs. Makhachev ,Valentina Shevchenko  vs. Zhang Weili ,UFC Women's Flyweight Title Bout,Decision,5,5:00,Chris Bolinski 45 - 50.Eric Colon 45 - 50.Chris Lee 45 - 50.,Valentina Shevchenko,Zhang Weili,5.0,1.4356164383561634,7.619999999999976,2.539999999999992
UFC 322: Della Maddalena vs. Makhachev ,Sean Brady  vs. Michael Morales ,Welterweight Bout,KO/TKO,1,3:27,Punches to Head At Distance ,Michael Morales,Sean Brady,3.0,-6.586301369863012,17.78,5.079999999999984
UFC 322: Della Maddalena vs. Makhachev ,Leon Edwards  vs. Carlos Prates ,Welterweight Bout,KO/TKO,2,1:28,Punch to Head At Distance ,Carlos Prates,Leon Edwards,3.0,-1.9808219178082211,10.159999999999997,-2.5400000000000205
UFC 322: Della Maddalena vs. Makhachev ,Beneil Dariush  vs. Benoit Saint Denis ,Lightweight Bout,KO/TKO,1,0:16,Punch to Head At Distance ,Benoit Saint Denis,Beneil Dariush,3.0,-6.62191780821918,2.539999999999992,2.539999999999992
UFC 322: Della Maddalena vs. Makhachev ,Bo Nickal  vs. Rodolfo Vieira ,Middleweight Bout,KO/TKO,3,2:24,Kick to Head At Distance ,Bo Nickal,Rodolfo Vieira,3.0,-6.306849315068497,7.6200000000000045,2.539999999999992
UFC 322: Della Maddalena vs. Makhachev ,Roman Kopylov  vs. Gregory Rodrigues ,Middleweight Bout,Decision,3,5:00,Eric Colon 27 - 30.Marcel Varela 27 - 30.Sal D'amato 28 - 29.,Gregory Rodrigues,Roman Kopylov,3.0,-0.7917808219178113,0.0,7.6200000000000045
UFC 322: Della Maddalena vs. Makhachev ,Erin Blanchfield  vs. Tracy Cortez ,Women's Flyweight Bout,Submission,2,4:44,Rear Naked Choke ,Erin Blanchfield,Tracy Cortez,3.0,-5.399999999999999,2.539999999999992,-2.539999999999992
UFC 322: Della Maddalena vs. Makhachev ,Malcolm Wellmaker  vs. Ethyn Ewing ,Featherweight Bout,Decision,3,5:00,Chris Bolinski 27 - 30.Ron McCarthy 28 - 29.Marcel Varela 28 - 29.,Ethyn Ewing,Malcolm Wellmaker,3.0,-3.7068493150684887,,
UFC 322: Della Maddalena vs. Makhachev ,Kyle Daukaus  vs. Gerald Meerschaert ,Middleweight Bout,Submission,1,0:50,D'Arce Choke On Ground ,Kyle Daukaus,Gerald Meerschaert,3.0,-5.199999999999996,-2.5400000000000205,2.5400000000000205
UFC 322: Della Maddalena vs. Makhachev ,Pat Sabatini  vs. Chepe Mariscal ,Featherweight Bout,Decision,3,5:00,Adrian Castro 27 - 30.Sal D'amato 27 - 30.Chris Lee 27 - 30.,Pat Sabatini,Chepe Mariscal,3.0,1.9671232876712423,2.5400000000000205,2.539999999999992
UFC 322: Della Maddalena vs. Makhachev ,Angela Hill  vs. Fatima Kline ,Women's Strawweight Bout,Decision,3,5:00,Chris Bolinski 27 - 30.Marcel Varela 26 - 30.Eric Colon 28 - 29.,Fatima Kline,Angela Hill,3.0,-15.506849315068493,7.6200000000000045,7.619999999999976
UFC 322: Della Maddalena vs. Makhachev ,Baisangur Susurkaev  vs. Eric McConico ,Middleweight Bout,KO/TKO,3,1:38,Punch to Head At Distance ,Baisangur Susurkaev,Eric McConico,3.0,-10.676712328767124,5.079999999999984,5.0800000000000125
UFC 322: Della Maddalena vs. Makhachev ,Viacheslav Borshchev  vs. Matheus Camilo ,Lightweight Bout,Decision,3,5:00,Adrian Castro 27 - 30.Macel Varella 27 - 30.Chris Bolinski 28 - 29.,Matheus Camilo,Viacheslav Borshchev,3.0,-8.99178082191781,0.0,-2.539999999999992
UFC Fight Night: Bonfim vs. Brown ,Gabriel Bonfim  vs. Randy Brown ,Welterweight Bout,KO/TKO,2,1:40,Knee to Head In Clinch ,Gabriel Bonfim,Randy Brown,5.0,-7.123287671232873,-15.240000000000009,-5.0800000000000125
UFC Fight Night: Bonfim vs. Brown ,Matt Schnell  vs. Joseph Morales ,Flyweight Bout,Submission,1,2:54,Guillotine Choke From Guard ,Joseph Morales,Matt Schnell,3.0,-4.6027397260274014,-2.5400000000000205,-5.0800000000000125
UFC Fight Night: Bonfim vs. Brown ,Muslim Salikhov  vs. Uros Medic ,Welterweight Bout,KO/TKO,1,1:03,Punch to Head At Distance ,Uros Medic,Muslim Salikhov,3.0,-8.88219178082192,2.539999999999992,5.079999999999984
UFC Fight Night: Bonfim vs. Brown ,Chris Padilla  vs. Ismael Bonfim ,Lightweight Bout,KO/TKO,2,4:30,Punches to Head On Ground ,Chris Padilla,Ismael Bonfim,3.0,0.28767123287671126,7.6200000000000045,2.539999999999992
UFC Fight Night: Bonfim vs. Brown ,Christian Leroy Duncan  vs. Marco Tulio ,Middleweight Bout,KO/TKO,2,3:20,Punch to Head At Distance ,Christian Leroy Duncan,Marco Tulio,3.0,-1.1123287671232873,12.699999999999989,5.0800000000000125
UFC Fight Night: Bonfim vs. Brown ,Hyder Amil  vs. Jamall Emmers ,Featherweight Bout,Decision,3,5:00,Saleem Haniff 27 - 29.Ben Cartlidge 27 - 30.Chris Lee 27 - 30.,Jamall Emmers,Hyder Amil,3.0,0.843835616438362,10.159999999999997,2.5400000000000205
UFC Fight Night: Bonfim vs. Brown ,Ricky Simon  vs. Raoni Barcelos ,Bantamweight Bout,Decision,3,5:00,Eric Colon 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,Raoni Barcelos,Ricky Simon,3.0,5.339726027397255,-5.079999999999984,2.5400000000000205
UFC Fight Night: Bonfim vs. Brown ,Mayra Bueno Silva  vs. Jacqueline Cavalcanti ,Women's Bantamweight Bout,Decision,3,5:00,Eric Colon 27 - 30.Sal D'amato 27 - 30.Chris Lee 28 - 29.,Jacqueline Cavalcanti,Mayra Bueno Silva,3.0,-6.024657534246579,10.160000000000025,5.0800000000000125
UFC Fight Night: Bonfim vs. Brown ,Josh Hokit  vs. Max Gimenis ,Heavyweight Bout,KO/TKO,1,0:56,Punches to Head At Distance ,Josh Hokit,Max Gimenis,3.0,-4.5835616438356155,-5.0800000000000125,-2.5400000000000205
UFC Fight Night: Bonfim vs. Brown ,Tecia Pennington  vs. Denise Gomes ,Women's Strawweight Bout,Decision,3,5:00,Eric Colon 27 - 30.Sal D'amato 27 - 30.Chris Lee 27 - 30.,Denise Gomes,Tecia Pennington,3.0,-10.378082191780827,7.6200000000000045,2.539999999999992
UFC Fight Night: Bonfim vs. Brown ,Miles Johns  vs. Daniel Marcos ,Bantamweight Bout,Submission,2,4:23,Rear Naked Choke ,Daniel Marcos,Miles Johns,3.0,1.0630136986301366,2.539999999999992,0.0
UFC Fight Night: Bonfim vs. Brown ,Zach Reese  vs. Jackson McVey ,Catch Weight Bout,Submission,2,1:38,Rear Naked Choke ,Zach Reese,Jackson McVey,3.0,5.0054794520547965,0.0,0.0
UFC Fight Night: Garcia vs. Onama ,Steve Garcia  vs. David Onama ,Featherweight Bout,KO/TKO,1,3:34,Punches to Head On Ground ,Steve Garcia,David Onama,5.0,2.043835616438354,2.539999999999992,2.539999999999992
UFC Fight Night: Garcia vs. Onama ,Waldo Cortes Acosta  vs. Ante Delija ,Heavyweight Bout,KO/TKO,1,3:59,Punch to Head At Distance ,Waldo Cortes Acosta,Ante Delija,3.0,-1.156164383561645,0.0,2.539999999999992
UFC Fight Night: Garcia vs. Onama ,Jeremiah Wells  vs. Themba Gorimbo ,Welterweight Bout,Decision,3,5:00,Eric Colon 28 - 29.Junichiro Kamijo 28 - 29.Ron McCarthy 28 - 29.,Jeremiah Wells,Themba Gorimbo,3.0,4.2356164383561605,-7.6200000000000045,-10.159999999999997
UFC Fight Night: Garcia vs. Onama ,Isaac Dulgarian  vs. Yadier del Valle ,Featherweight Bout,Submission,1,3:41,Rear Naked Choke ,Yadier del Valle,Isaac Dulgarian,3.0,-0.06849315068492601,-5.0800000000000125,5.079999999999984
UFC Fight Night: Garcia vs. Onama ,Charles Radtke  vs. Daniel Frunza ,Welterweight Bout,Submission,3,4:29,Rear Naked Choke ,Charles Radtke,Daniel Frunza,3.0,3.764383561643843,-2.539999999999992,-10.159999999999997
UFC Fight Night: Garcia vs. Onama ,Allan Nascimento  vs. Cody Durden ,Catch Weight Bout,Submission,2,3:13,Anaconda Choke On Ground ,Allan Nascimento,Cody Durden,3.0,-0.4547945205479422,5.079999999999984,2.539999999999992
UFC Fight Night: Garcia vs. Onama ,Billy Elekana  vs. Kevin Christian ,Light Heavyweight Bout,Submission,1,3:33,Rear Naked Choke ,Billy Elekana,Kevin Christian,3.0,-0.3479452054794585,-7.619999999999976,-10.159999999999997
UFC Fight Night: Garcia vs. Onama ,Timmy Cuamba  vs. ChangHo Lee ,Bantamweight Bout,Decision,3,5:00,Derek Cleary 28 - 29.Junichiro Kamijo 28 - 29.Ron McCarthy 28 - 29.,Timmy Cuamba,ChangHo Lee,3.0,-4.756164383561643,5.0800000000000125,2.539999999999992
UFC Fight Night: Garcia vs. Onama ,Donte Johnson  vs. Sedriques Dumas ,Middleweight Bout,Submission,2,1:25,Guillotine Choke On Ground ,Donte Johnson,Sedriques Dumas,3.0,-3.473972602739721,-12.699999999999989,-15.240000000000009
UFC Fight Night: Garcia vs. Onama ,Ketlen Vieira  vs. Norma Dumont ,Women's Bantamweight Bout,Decision,3,5:00,Derek Cleary 28 - 29.Ron McCarthy 29 - 28.Eric Colon 28 - 29.,Norma Dumont,Ketlen Vieira,3.0,0.9013698630136986,-2.539999999999992,-2.539999999999992
UFC Fight Night: Garcia vs. Onama ,Alice Ardelean  vs. Montserrat Conejo Ruiz ,Women's Strawweight Bout,Decision,3,5:00,Adalaide Byrd 27 - 30.Derek Cleary 27 - 30.Ron McCarthy 27 - 30.,Alice Ardelean,Montserrat Conejo Ruiz,3.0,0.7945205479452113,2.539999999999992,7.6200000000000045
UFC Fight Night: Garcia vs. Onama ,Phil Rowe  vs. Seokhyeon Ko ,Welterweight Bout,Decision,3,5:00,David Lethaby 26 - 30.Eric Colon 27 - 30.David Sutherland 27 - 30.,Seokhyeon Ko,Phil Rowe,3.0,-3.18904109589041,-22.859999999999985,-12.699999999999989
UFC Fight Night: Garcia vs. Onama ,Talita Alencar  vs. Ariane Carnelossi ,Women's Strawweight Bout,Submission,3,4:36,Rear Naked Choke ,Talita Alencar,Ariane Carnelossi,3.0,2.0876712328767155,-7.6200000000000045,-2.539999999999992
UFC 321: Aspinall vs. Gane ,Tom Aspinall  vs. Ciryl Gane ,UFC Heavyweight Title Bout,Could Not Continue ,1,4:35,Eye poke by Gane,,,5.0,,,
UFC 321: Aspinall vs. Gane ,Virna Jandiroba  vs. Mackenzie Dern ,UFC Women's Strawweight Title Bout,Decision,5,5:00,Mike Bell 47 - 48.Chris Lee 47 - 48.Sal D'amato 46 - 49.,Mackenzie Dern,Virna Jandiroba,5.0,-4.81917808219179,-2.539999999999992,2.539999999999992
UFC 321: Aspinall vs. Gane ,Umar Nurmagomedov  vs. Mario Bautista ,Bantamweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Chris Lee 27 - 30.Jacob Montalvo 27 - 30.,Umar Nurmagomedov,Mario Bautista,3.0,-2.5095890410958965,0.0,-2.539999999999992
UFC 321: Aspinall vs. Gane ,Alexander Volkov  vs. Jailton Almeida ,Heavyweight Bout,Decision,3,5:00,Tony Weeks 28 - 29.Mike Bell 29 - 28.Clemens Werner 28 - 29.,Alexander Volkov,Jailton Almeida,3.0,2.671232876712324,2.539999999999992,10.159999999999997
UFC 321: Aspinall vs. Gane ,Aleksandar Rakic  vs. Azamat Murzakanov ,Light Heavyweight Bout,KO/TKO,1,3:11,Punch to Head At Distance ,Azamat Murzakanov,Aleksandar Rakic,3.0,2.821917808219176,-17.78,-15.23999999999998
UFC 321: Aspinall vs. Gane ,Nasrat Haqparast  vs. Quillan Salkilld ,Lightweight Bout,KO/TKO,1,2:30,Kick to Head At Distance ,Quillan Salkilld,Nasrat Haqparast,3.0,-4.353424657534244,7.6200000000000045,5.079999999999984
UFC 321: Aspinall vs. Gane ,Ikram Aliskerov  vs. JunYong Park ,Middleweight Bout,Decision,3,5:00,Ben Cartlidge 27 - 30.Sal D'amato 27 - 30.Clemens Werner 27 - 30.,Ikram Aliskerov,JunYong Park,3.0,-1.7780821917808183,7.6200000000000045,5.079999999999984
UFC 321: Aspinall vs. Gane ,Ludovit Klein  vs. Mateusz Rebecki ,Lightweight Bout,Decision,3,5:00,Chris Lee 28 - 29.Ben Cartlidge 27 - 28.Tony Weeks 28 - 28.,Ludovit Klein,Mateusz Rebecki,3.0,-2.3890410958904127,15.240000000000009,0.0
UFC 321: Aspinall vs. Gane ,Valter Walker  vs. Louie Sutherland ,Heavyweight Bout,Submission,1,1:24,Heel Hook After Drop to Ground ,Valter Walker,Louie Sutherland,3.0,-3.8493150684931585,5.0800000000000125,7.6200000000000045
UFC 321: Aspinall vs. Gane ,Nathaniel Wood  vs. Jose Delgado ,Featherweight Bout,Decision,3,5:00,Ben Cartlidge 28 - 29.Sal D'amato 28 - 29.Clemens Werner 28 - 29.,Nathaniel Wood,Jose Delgado,3.0,4.956164383561646,-12.700000000000017,-12.700000000000017
UFC 321: Aspinall vs. Gane ,Hamdy Abdelwahab  vs. Chris Barnett ,Heavyweight Bout,Decision,3,5:00,Mike Bell 26 - 29.Chris Lee 27 - 29.Jacob Montalvo 27 - 29.,Hamdy Abdelwahab,Chris Barnett,3.0,-6.613698630136987,-7.6200000000000045,12.700000000000017
UFC 321: Aspinall vs. Gane ,Azat Maksum  vs. Mitch Raposo ,Flyweight Bout,Decision,3,5:00,Ben Cartlidge 26 - 30.Tony Weeks 27 - 29.Clemens Werner 27 - 29.,Mitch Raposo,Azat Maksum,3.0,-3.7041095890410993,-15.240000000000009,-5.0800000000000125
UFC 321: Aspinall vs. Gane ,Jaqueline Amorim  vs.  Mizuki ,Women's Strawweight Bout,Decision,3,5:00,Mike Bell 27 - 30.Jacob Montalvo 27 - 30.Sal D'amato 28 - 29.,Mizuki,Jaqueline Amorim,3.0,0.8465753424657514,-7.6200000000000045,0.0
UFC Fight Night: De Ridder vs. Allen ,Reinier de Ridder  vs. Brendan Allen ,Middleweight Bout,KO/TKO,4,5:00,toCorner stoppage between rounds,Brendan Allen,Reinier de Ridder,5.0,-5.30958904109589,-7.6200000000000045,-5.079999999999984
UFC Fight Night: De Ridder vs. Allen ,Kevin Holland  vs. Mike Malott ,Welterweight Bout,Decision,3,5:00,Jake Maxim 28 - 29.Mike Bell 28 - 29.Sal D'amato 28 - 29.,Mike Malott,Kevin Holland,3.0,0.9972602739726071,-20.32000000000002,-5.0800000000000125
UFC Fight Night: De Ridder vs. Allen ,Marlon Vera  vs. Aiemann Zahabi ,Bantamweight Bout,Decision,3,5:00,Jake Maxim 28 - 29.Sal D'amato 29 - 28.Mike Bell 28 - 29.,Aiemann Zahabi,Marlon Vera,3.0,5.041095890410958,-5.0800000000000125,0.0
UFC Fight Night: De Ridder vs. Allen ,Manon Fiorot  vs. Jasmine Jasudavicius ,Women's Flyweight Bout,KO/TKO,1,1:14,Punches to Head On Ground ,Manon Fiorot,Jasmine Jasudavicius,3.0,-0.9671232876712352,-7.6200000000000045,0.0
UFC Fight Night: De Ridder vs. Allen ,Charles Jourdain  vs. Davey Grant ,Bantamweight Bout,Submission,1,3:05,Guillotine Choke From Guard ,Charles Jourdain,Davey Grant,3.0,-9.94794520547945,0.0,2.539999999999992
UFC Fight Night: De Ridder vs. Allen ,Kyle Nelson  vs. Matt Frevola ,Lightweight Bout,Decision,3,5:00,Sal D'amato 27 - 30.Jake Maxim 28 - 29.Mike Bell 28 - 29.,Kyle Nelson,Matt Frevola,3.0,-0.8575342465753408,0.0,5.0800000000000125
UFC Fight Night: De Ridder vs. Allen ,Kyle Prepolec  vs. Drew Dober ,Lightweight Bout,KO/TKO,3,1:16,Punches to Head At Distance ,Drew Dober,Kyle Prepolec,3.0,0.8630136986301338,0.0,-5.0800000000000125
UFC Fight Night: De Ridder vs. Allen ,Cody Gibson  vs.  Aoriqileng ,Bantamweight Bout,KO/TKO,1,0:21,Punch to Head At Distance ,Aoriqileng,Cody Gibson,3.0,-5.791780821917804,-5.0800000000000125,-7.6200000000000045
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,5.641095890410959,-2.539999999999992,-7.6200000000000045
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,5.641095890410959,-2.539999999999992,12.699999999999989
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,5.641095890410959,20.32000000000002,-7.6200000000000045
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,5.641095890410959,20.32000000000002,12.699999999999989
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,6.315068493150676,-2.539999999999992,-7.6200000000000045
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,6.315068493150676,-2.539999999999992,12.699999999999989
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,6.315068493150676,20.32000000000002,-7.6200000000000045
UFC Fight Night: De Ridder vs. Allen ,Bruno Silva  vs. HyunSung Park ,Flyweight Bout,Submission,3,2:15,Rear Naked Choke ,Bruno Silva,HyunSung Park,3.0,6.315068493150676,20.32000000000002,12.699999999999989
UFC Fight Night: De Ridder vs. Allen ,Danny Barlow  vs. Djorden Santos ,Middleweight Bout,Decision,3,5:00,Jake Maxim 28 - 29.Mike Bell 28 - 29.Saleem Haniff 28 - 29.,Djorden Santos,Danny Barlow,3.0,-2.0,-10.159999999999997,-5.0800000000000125
UFC Fight Night: De Ridder vs. Allen ,Stephanie Luciano  vs. Ravena Oliveira ,Women's Strawweight Bout,Submission,3,2:50,Rear Naked Choke ,Stephanie Luciano,Ravena Oliveira,3.0,-2.819178082191783,0.0,2.539999999999992
UFC Fight Night: De Ridder vs. Allen ,Azamat Bekoev  vs. Yousri Belgaroui ,Middleweight Bout,KO/TKO,3,0:55,Punches to Head At Distance ,Yousri Belgaroui,Azamat Bekoev,3.0,3.5780821917808225,17.78,12.700000000000017
UFC Fight Night: De Ridder vs. Allen ,Melissa Croden  vs. Tainara Lisboa ,Women's Bantamweight Bout,KO/TKO,3,4:32,Punches to Head From Half Guard ,Melissa Croden,Tainara Lisboa,3.0,-0.11232876712329443,,
UFC Fight Night: Oliveira vs. Gamrot ,Charles Oliveira  vs. Mateusz Gamrot ,Lightweight Bout,Submission,2,2:48,Rear Naked Choke ,Charles Oliveira,Mateusz Gamrot,5.0,1.1506849315068521,10.159999999999997,0.0
