FIGHTER,WEIGHT,AGE,HEIGHT,REACH,STANCE,SLpM,Str. Acc %,TD Avg 15min,TD Acc %,Sub. Avg 15min,SApM,Str. Def %,TD Def. %
Irina Alekseeva,61.23492,35.47945205479452,172.72,170.18,Orthodox,3.42,0.38,0.38,0.2,0.4,5.02,0.45,0.5
Talita Alencar,52.16308,35.172602739726024,154.94,147.32,Orthodox,2.91,0.37,3.02,0.26,0.6,3.36,0.55,0.66
Jim Alers,65.77083999999999,39.18356164383562,175.26,180.34,Orthodox,2.9,0.4,2.26,0.41,0.3,4.38,0.56,0.8
John Alessio,70.30676,46.465753424657535,177.8,182.88,Orthodox,2.1,0.39,1.85,0.38,1.2,2.91,0.54,0.7
Houston Alexander,92.98636,53.75616438356165,182.88,182.88,Orthodox,3.06,0.54,1.19,0.57,0.0,3.2,0.52,0.33
Kenneth Alexander,70.30676,48.24109589041096,175.26,,Orthodox,0.88,0.19,4.71,0.26,0.0,2.2,0.66,0.0
Lucas Alexander,65.77083999999999,30.39178082191781,180.34,185.42000000000002,Orthodox,4.69,0.57,0.0,0.0,0.0,2.87,0.56,0.6
Marcio Alexandre Junior,83.91452,36.62465753424657,182.88,190.5,Southpaw,1.61,0.45,0.35,0.2,0.7,2.89,0.42,0.66
Olaf Alfonso,77.11064,51.38082191780822,187.96,,Orthodox,1.65,0.38,0.37,0.07,0.7,4.77,0.53,0.22
Pablo Alfonso,65.77083999999999,42.61917808219178,172.72,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levi Alford,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bill Algeo,65.77083999999999,36.52876712328767,182.88,185.42000000000002,Switch,5.88,0.51,1.03,0.5,0.1,4.38,0.47,0.55
Royce Alger,90.264808,60.8054794520548,177.8,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Aliakbari,113.398,41.52876712328767,190.5,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sultan Aliev,77.11064,41.25753424657534,180.34,187.96,Orthodox,1.41,0.45,1.76,0.38,0.0,2.2,0.56,1.0
Nurullo Aliev,70.30676,25.02191780821918,177.8,182.88,Orthodox,2.43,0.45,2.6,0.54,0.0,1.07,0.58,0.0
Ikram Aliskerov,83.91452,33.03013698630137,182.88,193.04,Southpaw,6.86,0.64,3.2,0.6,0.5,5.47,0.41,1.0
Leon Aliu,83.91452,36.43287671232877,182.88,187.96,Orthodox,6.32,0.5,0.0,0.0,0.0,10.11,0.38,0.0
John Allan,92.98636,32.81917808219178,185.42000000000002,190.5,Orthodox,3.56,0.42,1.4,0.71,0.8,5.74,0.52,0.5
George Allen,92.98636,58.94794520547945,187.96,,Open Stance,0.8,0.38,0.0,0.0,0.0,3.1,0.43,0.5
Arnold Allen,65.77083999999999,31.904109589041095,172.72,177.8,Southpaw,3.45,0.41,0.93,0.47,0.3,2.88,0.61,0.75
Brendan Allen,83.91452,29.972602739726028,187.96,190.5,Orthodox,3.59,0.53,1.56,0.42,1.1,3.62,0.47,0.56
Daniel Allen,70.30676,33.35616438356164,182.88,190.5,Southpaw,7.6,0.51,2.0,0.66,0.0,5.87,0.53,1.0
Ben Alloway,77.11064,44.83561643835616,180.34,193.04,Orthodox,1.28,0.49,0.62,0.5,0.0,1.9,0.59,0.26
Asu Almabayev,56.699,31.895890410958906,162.56,165.1,Orthodox,2.16,0.54,4.66,0.43,1.5,1.75,0.52,0.5
Bekzat Almakhan,61.23492,28.19178082191781,170.18,172.72,Orthodox,0.68,0.4,0.0,0.0,0.0,4.29,0.32,0.0
John Dave Almanza,56.699,21.734246575342464,170.18,170.18,Southpaw,1.92,0.41,0.0,0.0,0.0,5.75,0.27,0.0
Ricardo Almeida,77.11064,49.06301369863014,182.88,187.96,Orthodox,2.02,0.49,3.74,0.38,1.2,1.2,0.61,0.31
Magno Almeida,70.30676,40.53972602739726,182.88,,,1.67,0.36,0.0,0.0,5.0,2.6,0.41,0.4
Thomas Almeida,65.77083999999999,34.38630136986301,170.18,177.8,Southpaw,4.84,0.43,0.17,0.14,0.0,4.93,0.61,0.75
Ericka Almeida,52.16308,36.79178082191781,167.64000000000001,,Orthodox,1.07,0.39,0.5,0.33,0.0,3.33,0.43,0.37
Estefani Almeida,56.699,37.172602739726024,162.56,,Orthodox,3.13,0.37,0.0,0.0,0.0,6.07,0.42,0.0
Jailton Almeida,107.501304,34.48219178082192,190.5,200.66,Orthodox,2.25,0.66,6.66,0.62,2.0,1.02,0.35,0.6
Lucas Almeida,65.77083999999999,34.88219178082192,180.34,180.34,Orthodox,4.94,0.39,0.0,0.0,0.0,5.36,0.44,0.53
Cesar Almeida,83.91452,37.728767123287675,185.42000000000002,187.96,Orthodox,4.16,0.58,0.0,0.0,0.3,2.32,0.48,0.6
Mauricio Alonso,77.11064,45.81643835616438,187.96,,,5.74,0.34,0.0,0.0,0.0,1.91,0.67,0.0
Sarah Alpar,61.23492,34.55068493150685,162.56,160.02,Southpaw,2.36,0.44,1.61,0.26,0.4,6.06,0.38,0.2
Ali AlQaisi,61.23492,35.23835616438356,167.64000000000001,172.72,Orthodox,2.43,0.42,3.5,0.29,1.0,1.97,0.56,0.6
Rico Altamirano,77.11064,,177.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Altamirano,56.699,34.9041095890411,172.72,177.8,Switch,4.58,0.53,2.88,0.38,0.0,3.82,0.53,0.63
Mike Altman,83.91452,,177.8,,Orthodox,1.56,0.2,0.0,0.0,0.0,2.08,0.75,0.0
Patricia Alujas,52.16308,29.610958904109587,162.56,162.56,Orthodox,5.83,0.31,0.0,0.0,0.0,9.25,0.44,0.0
Sean Alvarez,106.59412,54.446575342465756,182.88,,Orthodox,0.89,0.37,0.0,0.0,0.0,3.25,0.47,0.0
Eddie Alvarez,70.30676,41.942465753424656,175.26,175.26,Orthodox,4.32,0.41,2.92,0.36,0.5,4.39,0.55,0.92
Jaime Alvarez,56.699,37.78356164383562,172.72,175.26,Orthodox,2.73,0.4,1.0,0.33,0.0,4.53,0.56,0.5
Joel Alvarez,70.30676,32.797260273972604,190.5,195.58,Orthodox,4.78,0.55,0.19,0.33,1.1,3.07,0.54,0.47
Thiago Alves,77.11064,42.21643835616438,175.26,177.8,Orthodox,3.73,0.41,0.71,0.6,0.3,3.42,0.62,0.63
Anthony Alves,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amilcar Alves,77.11064,37.364383561643834,182.88,,Southpaw,0.5,0.46,0.0,0.0,0.0,2.02,0.3,0.53
Warlley Alves,83.91452,34.95616438356164,180.34,182.88,Orthodox,3.04,0.48,1.22,0.5,0.8,3.95,0.5,0.62
Rafael Alves,70.30676,35.0958904109589,172.72,172.72,Orthodox,1.85,0.48,0.29,0.25,1.5,3.3,0.58,0.44
Sam Alvey,83.91452,39.62465753424657,187.96,190.5,Southpaw,3.28,0.44,0.06,0.14,0.1,3.63,0.52,0.82
Christopher Alvidrez,77.11064,28.972602739726028,182.88,187.96,Orthodox,6.97,0.62,0.0,0.0,0.0,2.11,0.5,1.0
Mahamed Aly,92.98636,31.934246575342467,187.96,198.12,Orthodox,6.0,0.66,0.0,0.0,0.0,12.0,0.33,0.0
Andre Amado,69.853168,42.2,182.88,,Orthodox,2.27,0.24,0.0,0.0,0.0,5.91,0.63,0.2
Adlan Amagov,77.11064,39.13972602739726,187.96,193.04,Orthodox,3.29,0.47,5.84,0.56,0.0,0.82,0.78,1.0
Maiara Amanajas dos Santos,52.16308,38.443835616438356,165.1,,Southpaw,5.53,0.35,0.0,0.0,0.0,24.47,0.33,1.0
Chris Amarante,83.91452,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Ambriz,142.88148,55.90958904109589,187.96,,Southpaw,0.83,0.29,3.13,0.57,0.8,3.76,0.4,1.0
JJ Ambrose,77.11064,38.868493150684934,177.8,,Orthodox,3.16,0.69,0.0,0.0,0.0,6.32,0.33,0.5
Alen Amedovski,83.91452,37.704109589041096,177.8,187.96,Orthodox,0.99,0.3,0.0,0.0,0.0,3.85,0.46,0.0
Hyder Amil,65.77083999999999,35.56164383561644,175.26,177.8,Switch,6.84,0.57,0.77,0.2,1.2,4.18,0.51,0.81
Hamid Amiri,65.77083999999999,22.504109589041096,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Makwan Amirkhani,65.77083999999999,37.11232876712329,177.8,182.88,Southpaw,1.33,0.44,3.96,0.43,1.1,2.98,0.46,0.35
Jaqueline Amorim,52.16308,30.484931506849314,160.02,172.72,Orthodox,2.43,0.5,2.16,0.36,3.8,2.16,0.54,0.0
Bertrand Amoussou,86.18248,59.57808219178082,172.72,,Orthodox,6.75,0.39,0.0,0.0,0.0,2.01,0.83,0.0
Karl Amoussou,83.91452,40.07945205479452,180.34,,Orthodox,1.47,0.34,0.0,0.0,1.0,2.67,0.54,0.25
Eryk Anders,83.91452,38.66575342465753,185.42000000000002,190.5,Southpaw,3.51,0.48,1.75,0.24,0.1,4.09,0.5,0.8
Matt Andersen,104.32616,54.57260273972603,187.96,,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Anderson,108.86207999999999,51.43835616438356,167.64000000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lowell Anderson,72.57472,,167.64000000000001,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Anderson,92.98636,36.24109589041096,190.5,200.66,Orthodox,4.43,0.46,4.89,0.5,0.0,2.22,0.59,0.83
Derek Anderson,70.30676,35.87671232876713,182.88,,,3.97,0.37,0.34,0.14,0.0,3.08,0.61,0.6
Megan Anderson,65.77083999999999,35.85205479452055,182.88,182.88,Orthodox,1.76,0.46,0.52,0.25,0.5,3.35,0.37,0.53
Liam Anderson,83.91452,30.92876712328767,190.5,190.5,Orthodox,3.0,0.52,1.0,0.2,0.0,6.53,0.31,0.5
Tatsuya Ando,65.77083999999999,35.64931506849315,162.56,172.72,Southpaw,0.93,0.19,0.0,0.0,0.0,4.93,0.5,0.0
Alex Andrade,90.7184,51.61095890410959,180.34,,Orthodox,0.2,0.36,0.0,0.0,0.8,2.6,0.53,0.25
Jessica Andrade,52.16308,34.23287671232877,154.94,157.48,Orthodox,6.37,0.48,2.1,0.54,0.3,5.58,0.54,0.75
Viscardi Andrade,77.11064,41.78630136986301,180.34,190.5,Orthodox,3.26,0.42,1.93,0.5,0.3,2.77,0.63,0.66
Jermaine Andre,90.7184,52.43835616438356,170.18,,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fellipe Andrew,,31.15068493150685,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Andrews,83.91452,46.1013698630137,185.42000000000002,187.96,Switch,2.21,0.5,2.83,0.5,0.4,2.72,0.46,0.57
Reese Andy,92.98636,52.73150684931507,182.88,,Orthodox,2.87,0.5,0.67,0.2,0.0,3.5,0.58,0.4
Angga,65.77083999999999,36.93150684931507,170.18,172.72,Orthodox,3.56,0.38,0.0,0.0,0.0,3.77,0.53,0.33
Julius Anglickas,92.98636,34.40821917808219,190.5,,Orthodox,4.62,0.78,4.47,0.5,1.1,1.86,0.5,0.6
Collin Anglin,65.77083999999999,32.824657534246576,175.26,180.34,Orthodox,4.59,0.48,2.28,0.66,0.0,5.54,0.51,1.0
Chad Anheliger,61.23492,39.05205479452055,167.64000000000001,162.56,Orthodox,3.11,0.46,0.68,0.3,0.5,2.76,0.53,0.38
Yoji Anjo,92.98636,58.74520547945205,180.34,,Orthodox,0.0,0.0,0.0,0.0,0.0,3.13,0.25,0.0
Magomed Ankalaev,92.98636,33.54520547945206,190.5,190.5,Orthodox,3.65,0.52,0.79,0.22,0.0,2.59,0.56,0.87
Gadzhimurad Antigulov,92.98636,38.86027397260274,180.34,177.8,Orthodox,2.08,0.55,5.08,0.36,1.4,4.21,0.4,0.0
Adam Antolin,56.699,43.81095890410959,165.1,160.02,Orthodox,5.73,0.52,0.0,0.0,0.0,5.0,0.69,1.0
Angelo Antonio,92.98636,27.202739726027396,,,Orthodox,1.09,0.5,0.0,0.0,0.0,7.64,0.5,0.0
Vanilto Antunes,77.11064,30.972602739726028,182.88,182.88,Orthodox,5.49,0.48,0.0,0.0,0.0,14.27,0.43,0.0
Azunna Anyanwu,113.851592,44.37808219178082,185.42000000000002,,Orthodox,2.47,0.42,0.65,1.0,0.0,2.47,0.69,0.0
Shinsho Anzai,77.11064,40.05205479452055,170.18,177.8,Orthodox,3.23,0.58,1.83,0.16,0.0,3.75,0.45,0.75
