event,bout,outcome,weightclass,method,round_end,round_end_time,time_format,referee,details,url,date,round_total,fighter1,fighter2,win_streak1,win_streak2,win_streak_delta,dob1,reach1,height1,dob2,reach2,height2,age1,age2,age_delta,reach_delta,height_delta
UFC Fight Night: Barboza vs. Chikadze,Bryan Battle  vs. Gilbert Urbina ,Fighter1,Middleweight,Submission,2.0,2.25,3 Rnd + OT (5-5-5-5),Herb Dean,Rear Naked Choke ,http://ufcstats.com/fight-details/5086f9fb4fdc2f60,2021-08-28,3.0,Bryan Battle,Gilbert Urbina,0.0,0.0,0.0,1994-09-21,195.58,185.42,1996-04-05,190.5,190.5,26.934976043805612,25.39630390143737,1.5386721423682417,5.0800000000000125,-5.0800000000000125
UFC Fight Night: Barboza vs. Chikadze,Ricky Turcios  vs. Brady Hiestand ,Fighter1,Bantamweight,Decision,3.0,5.0,3 Rnd + OT (5-5-5-5),Mark Smith,Mike Bell 28 - 29.Derek Cleary 29 - 28.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/ed64e42263bf50bf,2021-08-28,3.0,Ricky Turcios,Brady Hiestand,0.0,0.0,0.0,1993-06-05,180.34,175.26,1999-04-30,180.34,172.72,28.229979466119097,22.32991101984942,5.900068446269678,0.0,2.539999999999992
UFC Fight Night: Barboza vs. Chikadze,Kevin Lee  vs. Daniel Rodriguez ,Fighter2,Welterweight,Decision,3.0,5.0,3 Rnd (5-5-5),Herb Dean,Sal D'amato 28 - 29.Dave Hagen 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/089a17e450cc98aa,2021-08-28,3.0,Kevin Lee,Daniel Rodriguez,0.0,2.0,-2.0,1992-09-04,195.58,175.26,1986-12-31,187.96,185.42,28.980150581793293,34.65845311430527,-5.6783025325119745,7.6200000000000045,-10.159999999999997
UFC Fight Night: Barboza vs. Chikadze,Andre Petroski  vs. Micheal Gillmore ,Fighter1,Middleweight,KO/TKO,3.0,3.2,3 Rnd (5-5-5),Jason Herzog,Elbows to Head From Mount ,http://ufcstats.com/fight-details/ad3aa9520131ff2e,2021-08-28,3.0,Andre Petroski,Micheal Gillmore,0.0,0.0,0.0,1991-06-12,185.42,182.88,1987-03-28,182.88,180.34,30.21218343600274,34.42026009582478,-4.208076659822041,2.539999999999992,2.539999999999992
UFC Fight Night: Barboza vs. Chikadze,Makhmud Muradov  vs. Gerald Meerschaert ,Fighter2,Middleweight,Submission,2.0,1.82,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/1de342e9309c5f0f,2021-08-28,3.0,Makhmud Muradov,Gerald Meerschaert,3.0,1.0,2.0,1990-02-08,190.5,187.96,1987-12-18,195.58,185.42,31.550992470910334,33.69472963723477,-2.1437371663244384,-5.0800000000000125,2.5400000000000205
UFC Fight Night: Barboza vs. Chikadze,Alessio Di Chirico  vs. Abdul Razak Alhassan ,Fighter2,Middleweight,KO/TKO,1.0,0.28,3 Rnd (5-5-5),Herb Dean,Kick to Head At Distance ,http://ufcstats.com/fight-details/e24c8aab497b4fe1,2021-08-28,3.0,Alessio Di Chirico,Abdul Razak Alhassan,1.0,0.0,1.0,1989-12-12,187.96,182.88,1985-08-11,185.42,177.8,31.709787816564,36.04654346338125,-4.336755646817249,2.5400000000000205,5.079999999999984
UFC Fight Night: Barboza vs. Chikadze,Sam Alvey  vs. Wellington Turman ,Fighter2,Middleweight,Decision,3.0,5.0,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 27 - 28.Adalaide Byrd 28 - 27.Ron McCarthy 27 - 28.,http://ufcstats.com/fight-details/58d5e4afc2dd35d1,2021-08-28,3.0,Sam Alvey,Wellington Turman,0.0,0.0,0.0,1986-05-06,190.5,187.96,1996-07-22,182.88,182.88,35.31279945242984,25.100616016427104,10.21218343600274,7.6200000000000045,5.0800000000000125
UFC Fight Night: Barboza vs. Chikadze,Dustin Jacoby  vs. Darren Stewart ,Fighter1,Light Heavyweight,KO/TKO,1.0,3.07,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/0f3a91caeaa55094,2021-08-28,3.0,Dustin Jacoby,Darren Stewart,0.0,0.0,0.0,1988-04-04,193.04,190.5,1990-12-30,187.96,182.88,33.399041752224505,30.661190965092402,2.7378507871321034,5.079999999999984,7.6200000000000045
UFC Fight Night: Barboza vs. Chikadze,Jamall Emmers  vs. Pat Sabatini ,Fighter2,Featherweight,Submission,1.0,1.88,3 Rnd (5-5-5),Mark Smith,Heel Hook On Ground ,http://ufcstats.com/fight-details/ef4484943b1c68a9,2021-08-28,3.0,Jamall Emmers,Pat Sabatini,1.0,1.0,0.0,1989-07-24,187.96,177.8,1990-11-09,177.8,172.72,32.09582477754962,30.80082135523614,1.295003422313485,10.159999999999997,5.0800000000000125
UFC Fight Night: Barboza vs. Chikadze,Mana Martinez  vs. Guido Cannetti ,Fighter1,Bantamweight,Decision,3.0,5.0,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary 28 - 29.Adalaide Byrd 29 - 28.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/be4890f4aaadec28,2021-08-28,3.0,Mana Martinez,Guido Cannetti,0.0,0.0,0.0,1996-03-25,177.8,177.8,1979-12-19,172.72,167.64,25.426420260095824,41.69199178644764,-16.265571526351813,5.0800000000000125,10.160000000000025
UFC Fight Night: Cannonier vs. Gastelum,Jared Cannonier  vs. Kelvin Gastelum ,Fighter1,Middleweight,Decision,5.0,5.0,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 47 - 48.Sal D'amato 47 - 48.Junichiro Kamijo 47 - 48.,http://ufcstats.com/fight-details/f536ba47f006474a,2021-08-21,5.0,Jared Cannonier,Kelvin Gastelum,0.0,0.0,0.0,1984-03-16,195.58,180.34,1991-10-24,180.34,175.26,37.43189596167009,29.82614647501711,7.605749486652975,15.240000000000009,5.0800000000000125
UFC Fight Night: Cannonier vs. Gastelum,Clay Guida  vs. Mark Madsen ,Fighter2,Lightweight,Decision,3.0,5.0,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29.Sal D'amato 29 - 28.Eric Colon 27 - 30.,http://ufcstats.com/fight-details/3a9e0fed344fd07d,2021-08-21,3.0,Clay Guida,Mark Madsen,1.0,2.0,-1.0,1981-12-08,177.8,170.18,1984-09-23,182.88,172.72,39.7015742642026,36.90896646132786,2.792607802874741,-5.079999999999984,-2.539999999999992
UFC Fight Night: Cannonier vs. Gastelum,Parker Porter  vs. Chase Sherman ,Fighter1,Heavyweight,Decision,3.0,5.0,3 Rnd (5-5-5),Mark Smith,Rick Winter 27 - 30.Junichiro Kamijo 27 - 30.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/47230f9b5d7ae037,2021-08-21,3.0,Parker Porter,Chase Sherman,1.0,0.0,1.0,1985-04-22,190.5,182.88,1989-11-16,198.12,193.04,36.33127994524298,31.761806981519506,4.569472963723477,-7.6200000000000045,-10.159999999999997
UFC Fight Night: Cannonier vs. Gastelum,Trevin Jones  vs. Saidyokub Kakhramonov ,Fighter2,Bantamweight,Submission,3.0,4.65,3 Rnd (5-5-5),Herb Dean,Guillotine Choke Standing ,http://ufcstats.com/fight-details/e1897ff433134cb8,2021-08-21,3.0,Trevin Jones,Saidyokub Kakhramonov,1.0,0.0,1.0,1990-08-04,177.8,170.18,1995-11-14,175.26,172.72,31.04722792607803,25.76865160848734,5.278576317590691,2.5400000000000205,-2.539999999999992
UFC Fight Night: Cannonier vs. Gastelum,Vinc Pichel  vs. Austin Hubbard ,Fighter1,Lightweight,Decision,3.0,5.0,3 Rnd (5-5-5),Keith Peterson,Junichiro Kamijo 27 - 30.Sal D'amato 27 - 30.Adalaide Byrd 27 - 30.,http://ufcstats.com/fight-details/755d84d5f4aa4dbf,2021-08-21,3.0,Vinc Pichel,Austin Hubbard,2.0,1.0,1.0,1982-11-23,182.88,177.8,1991-12-22,180.34,177.8,38.743326488706366,29.66461327857632,9.078713210130047,2.539999999999992,0.0
UFC Fight Night: Cannonier vs. Gastelum,Alexandre Pantoja  vs. Brandon Royval ,Fighter1,Flyweight,Submission,2.0,1.77,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke ,http://ufcstats.com/fight-details/0b47788da6de735e,2021-08-21,3.0,Alexandre Pantoja,Brandon Royval,1.0,0.0,1.0,1990-04-16,170.18,165.1,1992-08-16,172.72,175.26,31.34839151266256,29.013004791238878,2.3353867214236814,-2.539999999999992,-10.159999999999997
UFC Fight Night: Cannonier vs. Gastelum,Austin Lingo  vs. Luis Saldana ,Fighter1,Featherweight,Decision,3.0,5.0,3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29.Jerin Valel 28 - 29.Rick Winter 28 - 29.,http://ufcstats.com/fight-details/12d2b282561b5e5f,2021-08-21,3.0,Austin Lingo,Luis Saldana,1.0,1.0,0.0,1994-07-10,177.8,177.8,1991-01-27,185.42,180.34,27.11567419575633,30.56536618754278,-3.449691991786448,-7.619999999999976,-2.539999999999992
UFC Fight Night: Cannonier vs. Gastelum,Brian Kelleher  vs. Domingo Pilarte ,Fighter1,Bantamweight,Decision,3.0,5.0,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 27 - 30.Junichiro Kamijo 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/bfacb44c24bfe0e9,2021-08-21,3.0,Brian Kelleher,Domingo Pilarte,0.0,0.0,0.0,1986-08-19,167.64,167.64,1990-01-05,185.42,182.88,35.006160164271044,31.6249144421629,3.381245722108144,-17.78,-15.240000000000009
UFC Fight Night: Cannonier vs. Gastelum,William Knight  vs. Fabio Cherant ,Fighter1,Light Heavyweight,KO/TKO,1.0,3.97,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance ,http://ufcstats.com/fight-details/5e2ce5aa3a92c2df,2021-08-21,3.0,William Knight,Fabio Cherant,0.0,0.0,0.0,1988-04-03,185.42,177.8,1994-11-25,187.96,185.42,33.38261464750171,26.7378507871321,6.644763860369611,-2.5400000000000205,-7.619999999999976
UFC Fight Night: Cannonier vs. Gastelum,Roosevelt Roberts  vs. Ignacio Bahamondes ,Fighter2,Lightweight,KO/TKO,3.0,4.92,3 Rnd (5-5-5),Mark Smith,Kick to Head At DistanceWheel Kick,http://ufcstats.com/fight-details/8badcb2134c1cdaf,2021-08-21,3.0,Roosevelt Roberts,Ignacio Bahamondes,0.0,0.0,0.0,1994-02-11,185.42,187.96,1997-08-27,190.5,190.5,27.523613963039015,23.983572895277206,3.540041067761809,-5.0800000000000125,-2.539999999999992
UFC Fight Night: Cannonier vs. Gastelum,Sasha Palatnikov  vs. Ramiz Brahimaj ,Fighter2,Welterweight,Submission,1.0,2.55,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke ,http://ufcstats.com/fight-details/47a157222b2c9092,2021-08-21,3.0,Sasha Palatnikov,Ramiz Brahimaj,0.0,0.0,0.0,1989-03-15,182.88,185.42,1992-11-17,182.88,177.8,32.435318275154,28.758384668035593,3.6769336071184107,0.0,7.619999999999976
UFC 265: Lewis vs. Gane,Derrick Lewis  vs. Ciryl Gane ,Fighter2,Heavyweight,KO/TKO,3.0,4.18,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punches to Head On Ground ,http://ufcstats.com/fight-details/bf732e22055e8634,2021-08-07,5.0,Derrick Lewis,Ciryl Gane,4.0,5.0,-1.0,1985-02-07,200.66,190.5,1990-04-12,205.74,193.04,36.49555099247091,31.32101300479124,5.17453798767967,-5.0800000000000125,-2.539999999999992
UFC 265: Lewis vs. Gane,Jose Aldo  vs. Pedro Munhoz ,Fighter1,Bantamweight,Decision,3.0,5.0,3 Rnd (5-5-5),Mike Beltran,Chris Lee 27 - 30.Sal D'amato 27 - 30.Doug Crosby 27 - 30.,http://ufcstats.com/fight-details/980927e7dcc131c0,2021-08-07,3.0,Jose Aldo,Pedro Munhoz,1.0,1.0,0.0,1986-09-09,177.8,170.18,1986-09-07,165.1,167.64,34.91033538672142,34.91581108829569,-0.005475701574269465,12.700000000000017,2.5400000000000205
UFC 265: Lewis vs. Gane,Michael Chiesa  vs. Vicente Luque ,Fighter2,Welterweight,Submission,1.0,3.42,3 Rnd (5-5-5),Kerry Hatley,D'Arce Choke On Ground ,http://ufcstats.com/fight-details/efe985e626a0d8c0,2021-08-07,3.0,Michael Chiesa,Vicente Luque,4.0,3.0,1.0,1987-12-07,190.5,185.42,1991-11-27,190.5,180.34,33.667351129363446,29.694729637234772,3.972621492128674,0.0,5.079999999999984
UFC 265: Lewis vs. Gane,Song Yadong  vs. Casey Kenney ,Fighter1,Bantamweight,Decision,3.0,5.0,3 Rnd (5-5-5),Dan Miragliotta,Chris Lee 27 - 30.Sal D'amato 28 - 29.Kerry Hatley 29 - 28.,http://ufcstats.com/fight-details/962aab0abdd34173,2021-08-07,3.0,Song Yadong,Casey Kenney,0.0,0.0,0.0,1997-12-02,170.18,172.72,1991-03-20,172.72,170.18,23.679671457905545,30.38466803559206,-6.704996577686515,-2.539999999999992,2.539999999999992
UFC 265: Lewis vs. Gane,King Green  vs. Rafael Fiziev ,Fighter2,Lightweight,Decision,3.0,5.0,3 Rnd (5-5-5),Jacob Montalvo,Joshua Ferraro 27 - 30.Chris Lee 28 - 29.Sal D'amato 28 - 29.,http://ufcstats.com/fight-details/76ece0ee2ef5d240,2021-08-07,3.0,King Green,Rafael Fiziev,0.0,3.0,-3.0,1986-09-09,180.34,177.8,1993-03-05,180.34,172.72,34.91033538672142,28.424366872005475,6.485968514715946,0.0,5.0800000000000125
UFC 265: Lewis vs. Gane,Vince Morales  vs. Drako Rodriguez ,Fighter1,Bantamweight,Decision,3.0,5.0,3 Rnd (5-5-5),Jeff Rexroad,Kerry Hatley 27 - 30.Danny De Alejandro 28 - 29.Doug Crosby 28 - 29.,http://ufcstats.com/fight-details/3d75081ce43774ca,2021-08-07,3.0,Vince Morales,Drako Rodriguez,0.0,0.0,0.0,1990-11-12,177.8,170.18,1996-06-16,175.26,172.72,30.73511293634497,25.141683778234086,5.593429158110883,2.5400000000000205,-2.539999999999992
UFC 265: Lewis vs. Gane,Alonzo Menifield  vs. Ed Herman ,Fighter1,Light Heavyweight,Decision,3.0,5.0,3 Rnd (5-5-5),Kerry Hatley,Robert Alexander 27 - 30.Patrick Patlan 27 - 30.Joshua Ferraro 27 - 30.,http://ufcstats.com/fight-details/dcd0793ff1a43b68,2021-08-07,3.0,Alonzo Menifield,Ed Herman,1.0,3.0,-2.0,1987-10-18,193.04,182.88,1980-10-02,195.58,185.42,33.804243668720055,40.84599589322382,-7.041752224503767,-2.5400000000000205,-2.539999999999992
UFC 265: Lewis vs. Gane,Manel Kape  vs. Ode Osbourne ,Fighter1,Flyweight,KO/TKO,1.0,4.73,3 Rnd (5-5-5),Jeff Rexroad,Flying Knee Head ,http://ufcstats.com/fight-details/85c5dd604d5b3634,2021-08-07,3.0,Manel Kape,Ode Osbourne,0.0,1.0,-1.0,1993-11-14,172.72,165.1,1992-01-09,185.42,170.18,27.72895277207392,29.57700205338809,-1.848049281314168,-12.699999999999989,-5.0800000000000125
UFC 265: Lewis vs. Gane,Miles Johns  vs. Anderson Dos Santos ,Fighter1,Bantamweight,KO/TKO,3.0,1.27,3 Rnd (5-5-5),Kerry Hatley,Punch to Head At Distance ,http://ufcstats.com/fight-details/9a678f346946b6a4,2021-08-07,3.0,Miles Johns,Anderson Dos Santos,1.0,1.0,0.0,1994-03-30,172.72,170.18,1985-07-24,177.8,165.1,27.356605065023956,36.03832991101985,-8.681724845995895,-5.0800000000000125,5.0800000000000125
