date,event,bout,fighter,opponent,round,round_time,sig_str_land,sig_str_att,sig_str_acc_%,sig_str_land_opp,sig_str_att_opp,sig_str_def_%,total_str_land,total_str_att,total_str_acc_%,kd,td_land,td_att,td_acc_%,td_land_opp,td_att_opp,td_def_%,sub_att,sub_att_opp,rev,ctrl,distance_ss_pct,clinch_ss_pct,ground_ss_pct,head_ss_pct,body_ss_pct,leg_ss_pct
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Junior Tafa vs. Billy Elekana,Billy Elekana,Junior Tafa,2,8.3,24,51,0.47058823529411764,38.0,70.0,0.4571428571428572,27,54,0.5,0.0,1,5,0.2,0.0,0.0,,1.0,0.0,0.0,0:371:03,0.9166666666666666,0.041666666666666664,0.041666666666666664,0.8333333333333334,0.125,0.041666666666666664
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Junior Tafa vs. Billy Elekana,Junior Tafa,Billy Elekana,2,8.3,38,70,0.5428571428571428,24.0,51.0,0.5294117647058824,38,70,0.5428571428571428,1.0,0,0,,1.0,5.0,0.8,0.0,1.0,0.0,0:070:00,0.9736842105263158,0.0,0.02631578947368421,0.5526315789473685,0.3684210526315789,0.07894736842105263
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Jonathan Micallef vs. Oban Elliott,Jonathan Micallef,Oban Elliott,2,8.52,19,59,0.3220338983050847,40.0,82.0,0.5121951219512195,30,70,0.42857142857142855,0.0,1,1,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0:351:00,0.8421052631578947,0.15789473684210525,0.0,0.6842105263157895,0.2631578947368421,0.05263157894736842
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Jonathan Micallef vs. Oban Elliott,Oban Elliott,Jonathan Micallef,2,8.52,40,82,0.4878048780487805,19.0,59.0,0.6779661016949152,47,89,0.5280898876404494,0.0,0,2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1:050:06,0.875,0.125,0.0,0.85,0.025,0.125
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Jacob Malkoun vs. Torrez Finney,Jacob Malkoun,Torrez Finney,3,15.0,117,181,0.6464088397790055,27.0,77.0,0.6493506493506493,151,219,0.6894977168949772,1.0,2,8,0.25,0.0,1.0,1.0,3.0,0.0,0.0,0:202:292:27,0.8290598290598291,0.03418803418803419,0.13675213675213677,0.9829059829059829,0.017094017094017096,0.0
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Jacob Malkoun vs. Torrez Finney,Torrez Finney,Jacob Malkoun,3,15.0,27,77,0.35064935064935066,117.0,181.0,0.35359116022099446,42,95,0.4421052631578947,0.0,0,1,0.0,2.0,8.0,0.75,0.0,3.0,0.0,0:200:000:00,0.9259259259259259,0.07407407407407407,0.0,0.9259259259259259,0.07407407407407407,0.0
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Dan Hooker vs. Benoit Saint Denis,Benoit Saint Denis,Dan Hooker,2,9.75,97,127,0.7637795275590551,30.0,47.0,0.36170212765957444,170,205,0.8292682926829268,0.0,2,9,0.2222222222222222,0.0,1.0,1.0,2.0,2.0,0.0,1:554:19,0.20618556701030927,0.10309278350515463,0.6907216494845361,0.8556701030927835,0.14432989690721648,0.0
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Dan Hooker vs. Benoit Saint Denis,Dan Hooker,Benoit Saint Denis,2,9.75,30,47,0.6382978723404256,97.0,127.0,0.2362204724409449,51,68,0.75,0.0,0,1,0.0,2.0,9.0,0.7777777777777778,2.0,2.0,0.0,0:220:06,0.9333333333333333,0.06666666666666667,0.0,0.6333333333333333,0.26666666666666666,0.1
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Cam Rowston vs. Cody Brundage,Cam Rowston,Cody Brundage,2,9.129999999999999,57,119,0.4789915966386555,29.0,65.0,0.5538461538461539,73,139,0.5251798561151079,0.0,0,0,,0.0,1.0,1.0,0.0,0.0,0.0,0:111:53,0.5614035087719298,0.10526315789473684,0.3333333333333333,0.7192982456140351,0.12280701754385964,0.15789473684210525
2026-01-31,UFC 325: Volkanovski vs. Lopes 2,Cam Rowston vs. Cody Brundage,Cody Brundage,Cam Rowston,2,9.129999999999999,29,65,0.4461538461538462,57.0,119.0,0.5210084033613445,31,67,0.4626865671641791,0.0,0,1,0.0,0.0,0.0,,0.0,0.0,0.0,0:190:00,0.9310344827586207,0.06896551724137931,0.0,0.7586206896551724,0.034482758620689655,0.20689655172413793
